root_id,has_skeleton,has_synapses,skeleton_bytes,synapse_bytes,skeleton_sha256,synapse_sha256,pilot_nucleus_id,pilot_current_root_id,cache_disposition
864691135060651419,True,True,122177,196588,bd2bc63b0564d704b473ba325ff026355289485f30f1b4c868ca20210de58ae4,5364403acca97ef772a8830c0ad229147975209fe995af2b48d46d924e55f428,256550,864691135060651419,complete original-pilot cell
864691135196576298,True,True,87635,53378,66f07c9b506e0c15ab1685bab7560e6d88e6c7151f5047fff7b64038bd65a580,bc58a1befc66addbcc929e4d06f5424fabaed71d647f8e74095dcd0172724233,264888,864691135196576298,complete original-pilot cell
864691135274038801,True,False,98292,0,cf83fa6797d8b2b20428165f26c9c4c5d36fdbf9ad88af6fd8e3e7ed194781f7,,not_applicable,not_applicable,non-pilot functional target; skeleton only
864691135277186789,True,True,67316,151993,17e20fef7f0bdd1aa3d7c1c6d144b7e8bba0634afc8732d410a37ba14b4ee6b7,40aae132d297eb8d1474b90fb73f49cdf8866ecd21886d26b84387aaf3f2b502,258209,864691135277186789,complete original-pilot cell
864691135324623260,True,True,109495,68072,94a646f6e562d5ef3aa45e4bf9e21a315265ae45523f6c4bd9c9840f4d17aaea,9ec755720a8971e6d8558ca1065ebfb0f4129ff372887b7c6c7f273b0ab60913,264889,864691135324623260,complete original-pilot cell
864691135409937097,True,True,86382,118036,67302f923405dfa5557fc05355d3f3f019f2978983e2f724a59605057f4bb031,936cb7af858c4475043a4cd22003f0cc68699debaa37df2c129cf4369afea438,291111,864691135409937097,complete original-pilot cell
864691135739661169,True,True,17685,47967,7cfbbec3cd72a7c1a7b104b8a4d68491d8828aade714850025dfdebcb7c97a4a,71230e79e4e2419b2c43cea0f2c618e37d34bd41bef2c9935de0ba1c787a1fb7,264871,864691135739661169,complete original-pilot cell
864691135743102827,True,False,136725,0,5d0d9820c8338f4a99a7fe74a8a29577cecd468a34d024060976514003944a34,,not_applicable,not_applicable,non-pilot functional target; skeleton only
864691135810666525,True,True,151639,216535,b9c9f390677f47a86bca9d82932280c0f8ed6024b296253625de99aebf73ec1f,7221815aaea1c761e511f778bc6497abfc48e9ca524936532b4a0ec675c44379,256456,864691135810666525,complete original-pilot cell
864691136043380566,True,True,58640,81663,46bf2ae933856bca975994992a0d6cdc6210b2610e4812185517d7f6e04f646d,edcb000eeacfc6e7832471c7ea4a0a968ebc63f6e833311ed7a5db636378ff9e,292648,864691136043380566,complete original-pilot cell
864691136138779517,True,False,151639,0,8ada21acf55af37726b53711145c4b290f3eebe60e6f15ce375e36fe4df81b21,,256456,864691135810666525,historical root of an original-pilot cell; skeleton only
