root_id,channels,method,credit_capture,seed_capture_sd,wiring_nonzeros,wiring_density,n_monte_carlo_streams
864691134941194851,1,dense PCA oracle,0.18686965837395003,0.01147244605049072,50.0,1.0,20
864691134941194851,1,depth-only bins,0.054051789807084895,0.003512078700834121,50.0,1.0,20
864691134941194851,1,morphology-aware paths,0.16968605729869907,0.010784098466327873,2.0,0.04,20
864691134941194851,1,random paths,0.03572635320844876,0.005138154510655364,2.41484375,0.048296875,20
864691134941194851,1,shuffled ancestry,0.02573396018648294,0.003536312164593261,2.0,0.04,20
864691134941194851,2,dense PCA oracle,0.3158177591057597,0.009190065742194295,100.0,1.0,20
864691134941194851,2,depth-only bins,0.0971376325540874,0.004373141070558516,50.0,0.5,20
864691134941194851,2,morphology-aware paths,0.2540518001835077,0.011868267089358838,6.0,0.06,20
864691134941194851,2,random paths,0.06864186281876809,0.005145636431630663,4.6625,0.046625,20
864691134941194851,2,shuffled ancestry,0.056255624083690205,0.004274946669587337,6.0,0.06,20
864691134941194851,4,dense PCA oracle,0.5267706578812866,0.007383854756697385,200.0,1.0,20
864691134941194851,4,depth-only bins,0.1712819183622263,0.005193626608501407,50.0,0.25,20
864691134941194851,4,morphology-aware paths,0.47524816429013994,0.009303940335277462,13.0,0.065,20
864691134941194851,4,random paths,0.13691177059004037,0.009830315290972813,9.44765625,0.04723828125,20
864691134941194851,4,shuffled ancestry,0.10895850834333987,0.005786899288231448,13.0,0.065,20
864691134941194851,8,dense PCA oracle,0.7588911175829326,0.004245022871364294,400.0,1.0,20
864691134941194851,8,depth-only bins,0.28848907916643884,0.006481820227150286,50.0,0.125,20
864691134941194851,8,morphology-aware paths,0.6731665406578464,0.006600519545411836,29.0,0.0725,20
864691134941194851,8,random paths,0.26902629656236166,0.011290297180703037,19.06171875,0.047654296875,20
864691134941194851,8,shuffled ancestry,0.20938517902596634,0.010649848673873731,29.0,0.0725,20
864691134941194851,16,dense PCA oracle,0.9248490157872956,0.0022809183611935363,800.0,1.0,20
864691134941194851,16,depth-only bins,0.47094832824994926,0.004937201345694212,50.0,0.0625,20
864691134941194851,16,morphology-aware paths,0.8785076351083703,0.004032310159255502,62.0,0.0775,20
864691134941194851,16,random paths,0.4930144096296584,0.01490145001896508,38.3234375,0.047904296875,20
864691134941194851,16,shuffled ancestry,0.4067211894994115,0.008200215960417943,62.0,0.0775,20
864691135082534135,1,dense PCA oracle,0.3310449204019886,0.01540851666925854,19.0,1.0,20
864691135082534135,1,depth-only bins,0.06499291099440427,0.00383935464343247,19.0,1.0,20
864691135082534135,1,morphology-aware paths,0.32549089615103133,0.01577280299999423,1.0,0.0526315789473684,20
864691135082534135,1,random paths,0.02613671639960734,0.008383492997630615,0.62421875,0.032853618421052576,20
864691135082534135,1,shuffled ancestry,0.05174665431374137,0.0076114612791203925,1.0,0.0526315789473684,20
864691135082534135,2,dense PCA oracle,0.6021577291171718,0.010961686408091052,38.0,1.0,20
864691135082534135,2,depth-only bins,0.13797667265409064,0.005812668625994229,19.0,0.5,20
864691135082534135,2,morphology-aware paths,0.5991902722410046,0.01143569583926494,2.0,0.0526315789473684,20
864691135082534135,2,random paths,0.04973859054625687,0.014715159358594113,1.2625,0.033223684210526266,20
864691135082534135,2,shuffled ancestry,0.11093621142210237,0.01569878699087317,2.0,0.0526315789473684,20
864691135082534135,4,dense PCA oracle,0.8182632171224181,0.007451444839000064,76.0,1.0,20
864691135082534135,4,depth-only bins,0.29721264239456163,0.0114223082002396,19.0,0.25,20
864691135082534135,4,morphology-aware paths,0.7490702436752062,0.010211981919061561,4.0,0.0526315789473684,20
864691135082534135,4,random paths,0.1093389511996278,0.015579638625490173,2.53203125,0.033316200657894694,20
864691135082534135,4,shuffled ancestry,0.21522915090449377,0.02622700517747322,4.0,0.0526315789473684,20
