task,strategy,feedback,n_paired_seeds,cores_averaged_within_seed,mean_difference,ci95_low,ci95_high
mnist,local_ca,path_transport,10,2,0.005814993381500244,0.005214998126029985,0.006319990754127475
mnist,local_ca,per_soma,10,2,0.014169999957084668,0.010885000154376002,0.017779997214674974
mnist,local_ca,per_soma_shared,10,2,0.005324992537498474,0.004635003134608296,0.006074988842010465
mnist,standard,backprop,10,2,0.005839988589286799,0.005249992012977583,0.006324982717633295
noise_resilience,local_ca,path_transport,10,1,0.009969997406005893,0.008319991827011142,0.011680256724357648
noise_resilience,local_ca,per_soma,10,1,0.025749999284744262,0.012170010805130005,0.040000235736370064
noise_resilience,local_ca,per_soma_shared,10,1,0.011700004339218095,0.009549749642610517,0.013470006138086242
noise_resilience,standard,backprop,10,1,0.009969997406005893,0.008279997110366899,0.011640006303787243
