topology,metric,n_owner_maps,mean,sd,minimum,maximum
random,unique_input_features,1280,276.19140625,5.909276672869592,257.0,293.0
random,input_coverage_fraction,1280,0.3522849569515306,0.007537342694986726,0.3278061224489796,0.3737244897959184
random,repeated_contact_fraction,1280,0.17800176711309526,0.017587132954969022,0.12797619047619047,0.23511904761904767
random,mean_pairwise_branch_jaccard,1280,0.013912338830298803,0.0017128911425814527,0.009197154471544714,0.02004620486488266
random,feature_degree_cv,1280,1.5068194089138998,0.03775759752481416,1.399404635312222,1.6372402253657086
spatial,unique_input_features,1280,336.0,0.0,336.0,336.0
spatial,input_coverage_fraction,1280,0.4285714285714285,5.553284798847921e-17,0.42857142857142855,0.42857142857142855
spatial,repeated_contact_fraction,1280,0.0,0.0,0.0,0.0
spatial,mean_pairwise_branch_jaccard,1280,0.0,0.0,0.0,0.0
spatial,feature_degree_cv,1280,1.1547005383792517,2.1516739251277013e-16,1.1547005383792515,1.1547005383792517
