seed,topology,owner,active_contacts,unique_input_features,input_coverage_fraction,repeated_contact_fraction,mean_pairwise_branch_jaccard,feature_degree_cv
42,random,0,336,272,0.3469387755102041,0.19047619047619047,0.016153146703531813,1.5545631755148026
42,random,1,336,276,0.3520408163265306,0.1785714285714286,0.0146052220137586,1.522972240208089
42,random,2,336,283,0.36096938775510207,0.15773809523809523,0.012124765478424015,1.4672347384715843
42,random,3,336,274,0.3494897959183674,0.18452380952380953,0.015543308317698562,1.5411035007422442
42,random,4,336,274,0.3494897959183674,0.18452380952380953,0.014979674796747966,1.532064692570853
42,random,5,336,282,0.3596938775510204,0.1607142857142857,0.0125,1.4766704288891124
42,random,6,336,266,0.3392857142857143,0.20833333333333337,0.016456461275139066,1.563471919941143
42,random,7,336,275,0.350765306122449,0.18154761904761907,0.013709349593495934,1.5046225071056492
42,random,8,336,267,0.3405612244897959,0.2053571428571429,0.01594051380797209,1.5500896031448563
42,random,9,336,275,0.350765306122449,0.18154761904761907,0.013588961851156973,1.5000000000000002
42,random,10,336,276,0.3520408163265306,0.1785714285714286,0.014594277673545967,1.522972240208089
42,random,11,336,285,0.3635204081632653,0.1517857142857143,0.012682926829268294,1.481365736219265
42,random,12,336,275,0.350765306122449,0.18154761904761907,0.014250312695434645,1.513825177048746
42,random,13,336,280,0.35714285714285715,0.16666666666666663,0.013823483427141963,1.5046225071056492
42,random,14,336,267,0.3405612244897959,0.2053571428571429,0.015897435897435898,1.5500896031448563
42,random,15,336,277,0.35331632653061223,0.17559523809523814,0.014219824890556598,1.513825177048746
42,random,16,336,275,0.350765306122449,0.18154761904761907,0.0154182301438399,1.5411035007422442
42,random,17,336,272,0.3469387755102041,0.19047619047619047,0.014187773608505316,1.513825177048746
42,random,18,336,275,0.350765306122449,0.18154761904761907,0.013995465916197625,1.5092308563562362
42,random,19,336,271,0.34566326530612246,0.19345238095238093,0.015351864652249763,1.536590742882148
42,random,20,336,277,0.35331632653061223,0.17559523809523814,0.014025171982489057,1.5092308563562362
42,random,21,336,282,0.3596938775510204,0.1607142857142857,0.012747111681643133,1.481365736219265
42,random,22,336,288,0.3673469387755102,0.1428571428571429,0.010874765478424015,1.4385563751360058
42,random,23,336,280,0.35714285714285715,0.16666666666666663,0.013408462525920806,1.4953632037438633
42,random,24,336,278,0.35459183673469385,0.17261904761904767,0.013141807379612258,1.49071198499986
