target_root_id,session,scan_idx,replicate,method,draw,n_features,n_available,selected_penalty,nmse,n_train_trials,n_test_trials
864691135810666525,4,10,0,training_mean,0,0,9,,1,347,117
864691135810666525,4,10,0,ols_all,0,9,9,0,0.591777501054,347,117
864691135810666525,4,10,0,ridge_all,0,9,9,1,0.615156264614,347,117
864691135810666525,4,10,0,ridge_raw,0,9,9,1,0.617305008139,347,117
864691135810666525,4,10,0,manual_only,0,0,9,0,1,347,117
864691135810666525,4,10,0,training_reliability_ge_0,0,8,9,1,0.648056289845,347,117
864691135810666525,4,10,0,training_reliability_ge_0.1,0,4,9,0.1,0.812965718608,347,117
864691135810666525,4,10,0,training_reliability_ge_0.2,0,3,9,0.1,0.794522177608,347,117
864691135810666525,4,10,0,keep_0.25,0,2,9,0.1,0.777054085679,347,117
864691135810666525,4,10,0,keep_0.5,0,4,9,0.1,0.697066770385,347,117
864691135810666525,4,10,0,keep_0.75,0,7,9,1,0.683568078383,347,117
864691135810666525,4,10,0,keep_0.25,1,2,9,0.1,0.851998382555,347,117
864691135810666525,4,10,0,keep_0.5,1,4,9,0.1,0.653192339578,347,117
864691135810666525,4,10,0,keep_0.75,1,7,9,1,0.624324889231,347,117
864691135810666525,4,10,0,keep_0.25,2,2,9,0.1,0.700314294596,347,117
864691135810666525,4,10,0,keep_0.5,2,4,9,1,0.705441537072,347,117
864691135810666525,4,10,0,keep_0.75,2,7,9,0.1,0.655160526339,347,117
864691135810666525,4,10,0,keep_0.25,3,2,9,0.1,0.802126932736,347,117
864691135810666525,4,10,0,keep_0.5,3,4,9,0.1,0.769350476702,347,117
864691135810666525,4,10,0,keep_0.75,3,7,9,1,0.634656408066,347,117
864691135810666525,4,10,0,keep_0.25,4,2,9,0.01,0.830984825647,347,117
864691135810666525,4,10,0,keep_0.5,4,4,9,0.1,0.612819247614,347,117
864691135810666525,4,10,0,keep_0.75,4,7,9,1,0.629440771698,347,117
864691135810666525,4,10,0,noise_0.25,0,9,9,1,0.614683684208,347,117
864691135810666525,4,10,0,noise_0.5,0,9,9,1,0.634789883266,347,117
864691135810666525,4,10,0,noise_1,0,9,9,1,0.709256864721,347,117
864691135810666525,4,10,1,training_mean,0,0,9,,1,369,95
864691135810666525,4,10,1,ols_all,0,9,9,0,0.710849650891,369,95
864691135810666525,4,10,1,ridge_all,0,9,9,0.1,0.705491352586,369,95
864691135810666525,4,10,1,ridge_raw,0,9,9,1,0.747130482266,369,95
864691135810666525,4,10,1,manual_only,0,0,9,0,1,369,95
864691135810666525,4,10,1,training_reliability_ge_0,0,8,9,0.1,0.765311498315,369,95
864691135810666525,4,10,1,training_reliability_ge_0.1,0,7,9,0.1,0.777453261348,369,95
864691135810666525,4,10,1,training_reliability_ge_0.2,0,4,9,0.1,0.729103894366,369,95
864691135810666525,4,10,1,keep_0.25,0,2,9,0.01,0.963115374673,369,95
864691135810666525,4,10,1,keep_0.5,0,4,9,0.1,0.85017129533,369,95
864691135810666525,4,10,1,keep_0.75,0,7,9,0.1,0.78317369818,369,95
864691135810666525,4,10,1,keep_0.25,1,2,9,0.1,0.93918811427,369,95
864691135810666525,4,10,1,keep_0.5,1,4,9,0.1,0.726792613157,369,95
864691135810666525,4,10,1,keep_0.75,1,7,9,0.1,0.719039928631,369,95
864691135810666525,4,10,1,keep_0.25,2,2,9,0.1,0.899173101694,369,95
864691135810666525,4,10,1,keep_0.5,2,4,9,0.1,0.892846548865,369,95
864691135810666525,4,10,1,keep_0.75,2,7,9,0.1,0.782665355468,369,95
864691135810666525,4,10,1,keep_0.25,3,2,9,0.1,0.909710699346,369,95
864691135810666525,4,10,1,keep_0.5,3,4,9,0.1,0.709702283651,369,95
