target_root_id,session,scan_idx,replicate,median_partner_reliability,target_reliability,n_manual,n_partners
864691135810666525,4,10,0,0.0956033621348,0.133603714806,0,9
864691135810666525,4,10,1,0.16729214182,0.228291519801,0,9
864691135810666525,4,10,2,0.205466830467,0.194603369603,0,9
864691135810666525,4,10,3,0.165569466486,0.180655968965,0,9
864691135810666525,4,10,4,0.195570382726,0.154202576221,0,9
864691135810666525,4,10,5,0.204466479466,0.236793611794,0,9
864691135810666525,4,10,6,0.144187724004,0.175150463224,0,9
864691135810666525,4,10,7,0.246265870052,0.155229978474,0,9
864691135810666525,4,10,8,0.196490325531,0.187792353787,0,9
864691135810666525,4,10,9,0.121220145556,0.258132025831,0,9
864691135810666525,6,4,0,0.172828365161,0.248519528911,2,6
864691135810666525,6,4,1,0.201231545199,0.188469389486,2,6
864691135810666525,6,4,2,0.210504888296,0.235582495999,2,6
864691135810666525,6,4,3,0.148077101288,0.179038087295,2,6
864691135810666525,6,4,4,0.170390709625,0.233685165126,2,6
864691135810666525,6,4,5,0.188091536543,0.197637270646,2,6
864691135810666525,6,4,6,0.168023868024,0.221840996841,2,6
864691135810666525,6,4,7,0.153123671048,0.206391122091,2,6
864691135810666525,6,4,8,0.192146367146,0.171253071253,2,6
864691135810666525,6,4,9,0.154318317919,0.18633142591,2,6
864691135810666525,6,6,0,0.15928815723,0.291453504435,4,10
864691135810666525,6,6,1,0.226795477713,0.261245482346,4,10
864691135810666525,6,6,2,0.123771498771,0.111126711127,4,10
864691135810666525,6,6,3,0.178758034418,0.207806344599,4,10
864691135810666525,6,6,4,0.147879990082,0.187683429885,4,10
864691135810666525,6,6,5,0.189013993142,0.307367250487,4,10
864691135810666525,6,6,6,0.165647837928,0.226248555027,4,10
864691135810666525,6,6,7,0.178157173043,0.236928471879,4,10
864691135810666525,6,6,8,0.202325377325,0.210723060723,4,10
864691135810666525,6,6,9,0.196855519609,0.262700228833,4,10
864691135810666525,7,4,0,0.174426248249,0.21240961445,1,11
864691135810666525,7,4,1,0.119599666389,0.193383375035,1,11
864691135810666525,7,4,2,0.0909047605438,0.187354120819,1,11
864691135810666525,7,4,3,0.182803603033,0.267360659538,1,11
864691135810666525,7,4,4,0.120437312643,0.152681562839,1,11
864691135810666525,7,4,5,0.177747968121,0.198161445593,1,11
864691135810666525,7,4,6,0.161898911899,0.263653913654,1,11
864691135810666525,7,4,7,0.178141453141,0.228746928747,1,11
864691135810666525,7,4,8,0.122259540608,0.167847079774,1,11
