target_root_id,session,scan_idx,replicate,method,nmse,n_features,n_available
864691135060651419,5,6,0,keep_0.25,0.949888147815,2,10
864691135060651419,5,6,0,keep_0.5,0.904236245514,5,10
864691135060651419,5,6,0,keep_0.75,0.849460441714,8,10
864691135060651419,5,6,0,manual_only,0.836476268414,2,10
864691135060651419,5,6,0,noise_0.25,0.820662956968,10,10
864691135060651419,5,6,0,noise_0.5,0.850816471065,10,10
864691135060651419,5,6,0,noise_1,0.929135211055,10,10
864691135060651419,5,6,0,ols_all,0.810335971974,10,10
864691135060651419,5,6,0,ridge_all,0.810953607373,10,10
864691135060651419,5,6,0,ridge_raw,0.79903092875,10,10
864691135060651419,5,6,0,training_mean,1,0,10
864691135060651419,5,6,0,training_reliability_ge_0,0.810953607373,10,10
864691135060651419,5,6,0,training_reliability_ge_0.1,0.810953607373,10,10
864691135060651419,5,6,0,training_reliability_ge_0.2,0.916180474594,9,10
864691135060651419,5,6,1,keep_0.25,1.00299743727,2,10
864691135060651419,5,6,1,keep_0.5,0.952623981627,5,10
864691135060651419,5,6,1,keep_0.75,0.968483487806,8,10
864691135060651419,5,6,1,manual_only,1.10593391066,2,10
864691135060651419,5,6,1,noise_0.25,1.00134070109,10,10
864691135060651419,5,6,1,noise_0.5,0.937809269066,10,10
864691135060651419,5,6,1,noise_1,0.967052323682,10,10
864691135060651419,5,6,1,ols_all,0.994204835887,10,10
864691135060651419,5,6,1,ridge_all,0.967095481557,10,10
864691135060651419,5,6,1,ridge_raw,0.972033189164,10,10
864691135060651419,5,6,1,training_mean,1,0,10
864691135060651419,5,6,1,training_reliability_ge_0,0.967095481557,10,10
864691135060651419,5,6,1,training_reliability_ge_0.1,0.967095481557,10,10
864691135060651419,5,6,1,training_reliability_ge_0.2,0.967095481557,10,10
864691135060651419,5,6,2,keep_0.25,1.01370799068,2,10
864691135060651419,5,6,2,keep_0.5,0.944604505802,5,10
864691135060651419,5,6,2,keep_0.75,0.924175537201,8,10
864691135060651419,5,6,2,manual_only,0.921411872965,2,10
864691135060651419,5,6,2,noise_0.25,0.909356280341,10,10
864691135060651419,5,6,2,noise_0.5,0.939438465922,10,10
864691135060651419,5,6,2,noise_1,0.996308384818,10,10
864691135060651419,5,6,2,ols_all,0.899468988814,10,10
864691135060651419,5,6,2,ridge_all,0.891918477631,10,10
864691135060651419,5,6,2,ridge_raw,0.894674535986,10,10
864691135060651419,5,6,2,training_mean,1,0,10
864691135060651419,5,6,2,training_reliability_ge_0,0.891918477631,10,10
864691135060651419,5,6,2,training_reliability_ge_0.1,0.891918477631,10,10
864691135060651419,5,6,2,training_reliability_ge_0.2,0.891918477631,10,10
864691135060651419,5,6,3,keep_0.25,0.9938740167,2,10
864691135060651419,5,6,3,keep_0.5,0.899850160742,5,10
