target_root_id,session,scan_idx,replicate,train_trial_mask_sha256,test_trial_mask_sha256,train_stimulus_ids_sha256,test_stimulus_ids_sha256,n_train_trials,n_test_trials,inner_identity_disjoint
864691135810666525,6,4,4,86ba037c79382fbf269616551300b2d3a727076828611a819d1da91ec24109d5,e6a6fb30481ff3c94ad86c8daffd261e9f8cdade59b56d3e3f76308a9d0b9abd,4ef489f7bc4c633a147c725c55fa59375494bdf650c2b749cd4e5e419e8e705e,8bd59019823bd68953db18dc38354425988d6998ea3b07b2e2943e19071d5d08,370,94,True
864691135810666525,6,4,5,9ed62efd30afe8f641f1f89454a7e8b70f7603abda59e2b99bc43baec495970b,f04b51fe7884df6c78c81bd39f273aa21382e002c1f74c1787188ab8f4472556,7ed78f8fc51f07275898a306061e37a7e6267059fbcf64e0298a2bb76e71bb83,9b067c19ed2ee49fbc3c3f8765921831a657c30624c02a733fc9b812a0495dba,376,88,True
864691135810666525,6,4,6,3af69c78fb948560ec1dcb4949282700d5dabd9e42e2199bbdec410cd535f6a5,0cc77d3f37e650edbb382a9f9869ed95c730002f23a6ba67f6a4186d09b7e12c,0eaf65482923b57822d98c8b24542a7cc2060cd0a1d675b177f242872537ed30,f31dd85bd474a2738ab349da6b9a703b00b24983fcb2ee836284d21d7dd8ec88,367,97,True
864691135810666525,6,4,7,1e84b4487370f6627bfeee053d3a277fbdf1938c96823d8ddea1b95a3a5cd3c0,efda20b9adfc86af8ec215f6054c05e3493c99cf1092e9d33d9795c3a7ab9136,1009ef550d9004bc86a419d06956e3f95de6f3022b04ef6b227ed656e9826cf7,1c34354427c9387c88eec929cedf7eece593d8cc019ed5039c9ef4fda04b9c23,386,78,True
864691135810666525,6,4,8,66d40ec2ac70e33daa5b6aa7967cb5afadd99c973289fb1774b633746ff0225b,49c77254f18182bd60ab430a4ba1d403bf3020f9767e881f6ddeb4bd1767bec2,061f3a2c7de2df34c7316666417642c0c009e8aea747bc5268d6a047bb3ec0e1,5559b607cd1f3dc7fdb8dde9e4f28b1edbed1302f64bc28e17c9d1abf345a6e2,383,81,True
864691135810666525,6,4,9,53b4eebe419bd65a93de42097aced03c200dfcececab91df9cc8756657fd009d,4621c9c24a820e83382e5e2a8ae84315dbfa9ff20b21824f80eb98ca67295144,5b5d1b5d7902a2696498e73e8b0d87e2b63beb1641a16f700a1d032ec2587a34,318a2877ebe0e4a1b90435f25c98230028e7fa37f20c6ce94afc46e81e21d477,377,87,True
864691135810666525,6,6,0,4ce0866e6ab735c6bb1f55f8a0b6377c41b74d8d81e89f3f1b00be0e2cb3cf98,fb739cd6e14051564a59451181bd9e94fe1fa4efd37beec5fb7ed98756ecfd46,65f0a7420714ac66792fa6bc08c57aff40bc6e5c5e38884648019985d655e453,57c3c6d9a1853db6ddf876fe08572bd5493b7f60ed3a1608dae9d1597fd3884d,380,84,True
864691135810666525,6,6,1,ae4ea1a97ac6b87999d924013b34ffba0a8aa97dde1c964fa8d21661f9058c62,abcc4d52eb505c7cd380f5a02b45c6560f85404e18701b1de1ddb06a9951062d,1f83de6581c7062fee14dbf9c2eeb42886722af4ee0b3ea1e4ece8cabaa729aa,996c063d4d5fd24ff2dce029f47bc6decb1e069642d9169e4374d055428d0c91,381,83,True
864691135810666525,6,6,2,c4805000d3d5880d286b4cb4ea1b6c779924192de3e81a927edc966d7f03baf3,5fd260138aff078f2a246c7dbf395b758b924c81ac85e04077392ebfebc1f0a0,39f67352c23cd97d69274df625d60587f2725a7728b4a48c9d7a2e56baa41cdc,034a1aa2b1eb9c78f723ed742f728b59b6f732071692f9f23ce6e73e5e399c38,367,97,True
864691135810666525,6,6,3,fb6133840fd316a2a8bd020cf8e6e582379ad98b1d7ac7eae11ee0c52762ace7,3315f634ee7198788809f9b85e016b5701b9714f2e840bd61d4dffce743d84e6,70a733e09c3e13f1dc1758eeb6be09b2bf245e61832b40cc3ab1d76c14d960f5,2099892893103737945bd4c06a248a1733563e3abb4f9fc94b70310666f5f348,369,95,True
