target_root_id,method,nmse,n_features,n_available
864691135060651419,archived_exact compartment error,0.839905957161,10.3333333333,10.3333333333
864691135060651419,archived_random anatomical routes,0.893601098793,10.3333333333,10.3333333333
864691135060651419,archived_site-shuffled routes,0.924786714032,10.3333333333,10.3333333333
864691135060651419,archived_topology-matched routes,0.870483102713,10.3333333333,10.3333333333
864691135060651419,keep_0.25,0.947839244508,2.33333333333,10.3333333333
864691135060651419,keep_0.5,0.900964528735,5,10.3333333333
864691135060651419,keep_0.75,0.864779149813,8,10.3333333333
864691135060651419,manual_only,0.937609080712,3,10.3333333333
864691135060651419,noise_0.25,0.84999824847,10.3333333333,10.3333333333
864691135060651419,noise_0.5,0.870820263912,10.3333333333,10.3333333333
864691135060651419,noise_1,0.91991000223,10.3333333333,10.3333333333
864691135060651419,ols_all,0.854017392973,10.3333333333,10.3333333333
864691135060651419,ridge_all,0.840636346787,10.3333333333,10.3333333333
864691135060651419,ridge_raw,0.840567848731,10.3333333333,10.3333333333
864691135060651419,training_mean,1,0,10.3333333333
864691135060651419,training_reliability_ge_0,0.841714459123,10.3333333333,10.3333333333
864691135060651419,training_reliability_ge_0.1,0.861605805134,9.5,10.3333333333
864691135060651419,training_reliability_ge_0.2,0.905213031491,7.2,10.3333333333
864691135196576298,archived_exact compartment error,0.760259660553,9,9
864691135196576298,archived_random anatomical routes,0.792732992103,9,9
864691135196576298,archived_site-shuffled routes,0.80979078837,9,9
864691135196576298,archived_topology-matched routes,0.77754730541,9,9
864691135196576298,keep_0.25,0.922254874594,2,9
864691135196576298,keep_0.5,0.860316943248,4,9
864691135196576298,keep_0.75,0.817145635099,7,9
864691135196576298,manual_only,0.971480701041,3,9
864691135196576298,noise_0.25,0.794345185652,9,9
864691135196576298,noise_0.5,0.811026961504,9,9
864691135196576298,noise_1,0.865585982727,9,9
864691135196576298,ols_all,0.788371107406,9,9
864691135196576298,ridge_all,0.788994286605,9,9
864691135196576298,ridge_raw,0.751141245796,9,9
864691135196576298,training_mean,1,0,9
864691135196576298,training_reliability_ge_0,0.796565120155,8.7,9
864691135196576298,training_reliability_ge_0.1,0.785539055312,7.7,9
864691135196576298,training_reliability_ge_0.2,0.776354841715,5.7,9
864691135277186789,archived_exact compartment error,0.809275563527,14.5,14.5
864691135277186789,archived_random anatomical routes,0.890445714363,14.5,14.5
864691135277186789,archived_site-shuffled routes,0.885543605967,14.5,14.5
864691135277186789,archived_topology-matched routes,0.890128107806,14.5,14.5
864691135277186789,keep_0.25,0.941712689236,3.5,14.5
864691135277186789,keep_0.5,0.882610628678,7,14.5
864691135277186789,keep_0.75,0.849035335215,11,14.5
864691135277186789,manual_only,0.895294878252,6.5,14.5
864691135277186789,noise_0.25,0.826766575973,14.5,14.5
864691135277186789,noise_0.5,0.834667213979,14.5,14.5
864691135277186789,noise_1,0.876958103285,14.5,14.5
864691135277186789,ols_all,0.817822300933,14.5,14.5
864691135277186789,ridge_all,0.813890546175,14.5,14.5
864691135277186789,ridge_raw,0.83102602779,14.5,14.5
864691135277186789,training_mean,1,0,14.5
864691135277186789,training_reliability_ge_0,0.825389715743,13.85,14.5
864691135277186789,training_reliability_ge_0.1,0.824212891175,12.5,14.5
864691135277186789,training_reliability_ge_0.2,0.834875501365,9.05,14.5
864691135324623260,archived_exact compartment error,0.793689521727,5,5
864691135324623260,archived_random anatomical routes,0.786162880171,5,5
864691135324623260,archived_site-shuffled routes,0.818284323855,5,5
864691135324623260,archived_topology-matched routes,0.784310631868,5,5
864691135324623260,keep_0.25,0.952287174843,1,5
864691135324623260,keep_0.5,0.928944176727,2,5
864691135324623260,keep_0.75,0.869781990159,4,5
864691135324623260,manual_only,0.84107369012,2,5
864691135324623260,noise_0.25,0.846937374771,5,5
864691135324623260,noise_0.5,0.848966476088,5,5
