target_root_id,session,scan_idx,method,nmse,n_features,n_available
864691135277186789,8,5,archived_random anatomical routes,0.867391206913,17,17
864691135277186789,8,5,archived_site-shuffled routes,0.833576226354,17,17
864691135277186789,8,5,archived_topology-matched routes,0.84511322889,17,17
864691135277186789,8,5,keep_0.25,0.924626439101,4,17
864691135277186789,8,5,keep_0.5,0.849749323895,8,17
864691135277186789,8,5,keep_0.75,0.814332129118,13,17
864691135277186789,8,5,manual_only,0.885142987081,7,17
864691135277186789,8,5,noise_0.25,0.783189674389,17,17
864691135277186789,8,5,noise_0.5,0.786124683472,17,17
864691135277186789,8,5,noise_1,0.822833316366,17,17
864691135277186789,8,5,ols_all,0.785141456793,17,17
864691135277186789,8,5,ridge_all,0.774878260069,17,17
864691135277186789,8,5,ridge_raw,0.771930089946,17,17
864691135277186789,8,5,training_mean,1,0,17
864691135277186789,8,5,training_reliability_ge_0,0.774878260069,17,17
864691135277186789,8,5,training_reliability_ge_0.1,0.79345282545,16.5,17
864691135277186789,8,5,training_reliability_ge_0.2,0.741503235184,13.9,17
864691135324623260,6,6,archived_exact compartment error,0.793689521727,5,5
864691135324623260,6,6,archived_random anatomical routes,0.786162880171,5,5
864691135324623260,6,6,archived_site-shuffled routes,0.818284323855,5,5
864691135324623260,6,6,archived_topology-matched routes,0.784310631868,5,5
864691135324623260,6,6,keep_0.25,0.952287174843,1,5
864691135324623260,6,6,keep_0.5,0.928944176727,2,5
864691135324623260,6,6,keep_0.75,0.869781990159,4,5
864691135324623260,6,6,manual_only,0.84107369012,2,5
864691135324623260,6,6,noise_0.25,0.846937374771,5,5
864691135324623260,6,6,noise_0.5,0.848966476088,5,5
864691135324623260,6,6,noise_1,0.860710851207,5,5
864691135324623260,6,6,ols_all,0.849816759757,5,5
864691135324623260,6,6,ridge_all,0.831425861059,5,5
864691135324623260,6,6,ridge_raw,0.833024563513,5,5
864691135324623260,6,6,training_mean,1,0,5
864691135324623260,6,6,training_reliability_ge_0,0.830902227587,4.7,5
864691135324623260,6,6,training_reliability_ge_0.1,0.823837123643,4.1,5
864691135324623260,6,6,training_reliability_ge_0.2,0.840871002599,3.7,5
864691135409937097,6,4,archived_exact compartment error,0.887990966106,9,9
864691135409937097,6,4,archived_random anatomical routes,0.943842331641,9,9
864691135409937097,6,4,archived_site-shuffled routes,0.910821373724,9,9
864691135409937097,6,4,archived_topology-matched routes,0.952831373378,9,9
864691135409937097,6,4,keep_0.25,0.956455683543,2,9
864691135409937097,6,4,keep_0.5,0.923458912167,4,9
864691135409937097,6,4,keep_0.75,0.893870970558,7,9
864691135409937097,6,4,manual_only,0.893636514277,5,9
864691135409937097,6,4,noise_0.25,0.873870274375,9,9
864691135409937097,6,4,noise_0.5,0.880796812544,9,9
