target_root_id,session,scan_idx,replicate,n_conditions,heldout_perturbation_preserves_penalties_masks_and_training_reliability
864691135810666525,4,10,0,26,True
864691135810666525,6,4,0,26,True
864691135810666525,6,6,0,26,True
864691135810666525,7,4,0,26,True
864691135060651419,5,6,0,26,True
864691135060651419,5,7,0,26,True
864691135060651419,9,4,0,26,True
864691135277186789,4,7,0,26,True
864691135277186789,8,5,0,26,True
864691135739661169,7,3,0,26,True
864691135196576298,7,3,0,26,True
864691135324623260,6,6,0,26,True
864691135409937097,6,4,0,26,True
