feedback,n_seeds,mean_test_accuracy,sd_test_accuracy,ci95_low_test_accuracy,ci95_high_test_accuracy
strict scalar,20,0.34472499042749405,0.010585537339619823,0.33977080645285607,0.34967917440213203
neuron specific,20,0.50865498483181,0.003840989832777472,0.5068573462551578,0.5104526234084623
exact path,20,0.5000649943947792,0.005426087546320818,0.49752550725260547,0.502604481536953
backpropagation,20,0.5012199893593788,0.005647978411455452,0.49857665409566904,0.5038633246230886
