architecture,core_strict,seed,feedback_strict,broadcast_mode_strict,test_accuracy_strict,run_dir_strict,config_index_strict,config_sha256_strict,result_sha256_strict,checkpoint_sha256_strict,cohort_strict,core_legacy,feedback_legacy,broadcast_mode_legacy,test_accuracy_legacy,run_dir_legacy,config_index_legacy,config_sha256_legacy,result_sha256_legacy,checkpoint_sha256_legacy,cohort_legacy,strict_minus_legacy
shunting,dendritic_shunting,52,scalar broadcast,scalar,0.8779000043869019,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_strict_scalar_shunting_15seed_20260826004509,10,b000dc91c098136372ba6f835a72b3f4b63d10d24e84ffe354190a07a756642e,be588296f59ab949ac963d5f30ed6467cc98bbcd1dd309f834978cf0afd5bdbd,c88026d1ffff728f71ba482584d5b50750d353717be690209ebe861623ced5c3,matched_strict_scalar_control_2026-08-26,dendritic_shunting,scalar broadcast,per_soma,0.9132999777793884,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_coordinates_shunting_15seed_20260825174136,10,963678ef8fd42666b8e3cb9e42c87fc0eb823c0bd28d1b50d47ee3a216f0ec83,acec49f9971b95e228f58b2cbe17684d38599ac85a01bdb2616a7e6ad2a56944,b31222c65117bc30ae8029ae4b73133efab1a9aede5c9884ef11fce09f88f847,matched_current_source_coordinates_2026-08-25,-0.03539997339248657
shunting,dendritic_shunting,53,scalar broadcast,scalar,0.8659999966621399,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_strict_scalar_shunting_15seed_20260826004509,11,df451f3d7b97a45936d1795e6d24eb4ef54bc79d0425b8d88ef07080b8345653,a34e8dea84064a4ee498da22ca6bbcaf5ad0f0eab840e24d848bb38b23303d02,870a4170308a01769fc0967a75e941d958d568afa0269ed1b4907bb5f8bcf633,matched_strict_scalar_control_2026-08-26,dendritic_shunting,scalar broadcast,per_soma,0.9062999486923218,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_coordinates_shunting_15seed_20260825174136,11,9d2b7d72ca9bcbae771513282ae78fb158a6d41518d695db35f6d00d8a3e8996,2e7a062bcac851870b565a1165c464731d7c194e164b7e53d236a1a7db5bd1b0,725429ccfa8da40ff4e8f36039beccbb0f005659fd355d7471864d3c6df80cf7,matched_current_source_coordinates_2026-08-25,-0.040299952030181885
shunting,dendritic_shunting,54,scalar broadcast,scalar,0.8693999648094177,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_strict_scalar_shunting_15seed_20260826004509,12,1e89d1d241c0b1ffda927937b8d501bc6ab51b24332e8bb49d5c4c110d0abee0,e6f6e6384fd2757e1519abe5c68adde8b2ce12ff022b1938c19ab453dfbe3c0e,275a025d01c88b61e9b8ae2cadee46560acc61cca53df549c4f293edf1e07144,matched_strict_scalar_control_2026-08-26,dendritic_shunting,scalar broadcast,per_soma,0.9138999581336975,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_coordinates_shunting_15seed_20260825174136,12,7718d597da5763a6d3b47522c5a69bb33cda1084fd5f56b128668b996b6c5e75,d143515725f49edb5ca6fd61e260f4fe95271a3401e082610c8498920ffa2318,9d849caa5e736e020f5b29b998083d225cd9a34e881f8c8d3c5f70b55f0e1aab,matched_current_source_coordinates_2026-08-25,-0.044499993324279785
shunting,dendritic_shunting,55,scalar broadcast,scalar,0.8452000021934509,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_strict_scalar_shunting_15seed_20260826004509,13,5ecda147e9b31a0728765a5fc5f531f88db34953a7e2adcd1a75fc545c77be5a,efdd1a96b6325701fce4413fe7b5534a744ad5f7b2b13a15c3957b20445679ce,da5bb62bad44a0d8edf9f4bbd4d6f161d2f8ccc8abd9b9e5a19c3dbf122b6456,matched_strict_scalar_control_2026-08-26,dendritic_shunting,scalar broadcast,per_soma,0.9045999646186829,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_coordinates_shunting_15seed_20260825174136,13,381f0794454ad842cdcd57bd0d8d8ee44dea69bc6b792fb79efff732d2432623,2d977e344a01facc27c0aeb4a4d15f7f1c7818227c9b89453a8a05b2ce25c839,4164f27599eeb14ec4f2888d4bc12e8f6e490dd1780451592fdd21fe99798ad6,matched_current_source_coordinates_2026-08-25,-0.059399962425231934
shunting,dendritic_shunting,56,scalar broadcast,scalar,0.8443999886512756,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_strict_scalar_shunting_15seed_20260826004509,14,7d84c22d768ea77818f34dc567d0ae27fa525d8d064cfd12427f3e8436d009b8,405f5f54609026f93d256d0f0278ee67eb4f17c759de7d608f03b52836845319,c0da6d699c1d93fbf1ee9964b16253452b69c4cf49d6accc1b64de62d6854bac,matched_strict_scalar_control_2026-08-26,dendritic_shunting,scalar broadcast,per_soma,0.9049999713897705,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_coordinates_shunting_15seed_20260825174136,14,3085c1b4cc26e965991e9c0c4c50dad21920d8efc80a9fceaf7cc313bcd2ce49,be4bfa3f9b72e0af34885d459a644bdb3ed21fda7df03c705a36b99842eb8aaf,6fe64bef07f8f1e97d56f6c88f8320abf9ee1156783430b80d09c6b2fa722330,matched_current_source_coordinates_2026-08-25,-0.06059998273849487
additive,dendritic_additive,42,scalar broadcast,scalar,0.9084999561309814,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_strict_scalar_additive_15seed_20260826004511,0,6e90d6fc606b397543be703eacb86038178e60e6c5779975e2bbedad7a3201c6,c35686f35d2796751a97e5a1b3b4ea62d24685fb84655532dd90dca91be9ffaa,e5061665d42b09049aba38a5e1ff13837b78fcee206ed01573fbdb8753d8e255,matched_strict_scalar_control_2026-08-26,dendritic_additive,scalar broadcast,per_soma,0.9205999970436096,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_coordinates_additive_15seed_20260825174138,0,0b9b78a5232550fd1e3dbdfc45fa4ec4efd0db6cda85156504abfff0f133542d,445ba896f76c7f291c0f20e638da0e65a290b9641e14397239288181ad48db09,b9f1d3c858c36e04107abeab0e18ea890900b340389f366040da4e3f580b2685,matched_current_source_coordinates_2026-08-25,-0.012100040912628174
additive,dendritic_additive,43,scalar broadcast,scalar,0.9066999554634094,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_strict_scalar_additive_15seed_20260826004511,1,ce7d31ed7147428c8674c64832338334bd7f21b8d647e85d48b7534c01c49cb2,fb3bde51a4609345994f6982ccf85a42561aa95272fc214ea178366c23e595ee,77fbd45049722b258ea3424eda015ba0385a3f6462b463a25172ed12c847faa6,matched_strict_scalar_control_2026-08-26,dendritic_additive,scalar broadcast,per_soma,0.9220999479293823,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_coordinates_additive_15seed_20260825174138,1,be5b3fe2b6e12f78c2362c02a1cfb48623bcfdccd57038bed91f9a4a108323fa,7e15c0fd8d0eb123b3125d318fffee42e2d30dd184ed5b6f02b02a8750d2684b,9b6ec3e35a62be9ad9a15152f9b35b041164dc7d2571ebab7cec85a4c479f88e,matched_current_source_coordinates_2026-08-25,-0.0153999924659729
additive,dendritic_additive,44,scalar broadcast,scalar,0.9072999954223633,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_strict_scalar_additive_15seed_20260826004511,2,9958c8a2e0643d4cef174ed3bbd4170873b22b66cabcab6e9f17a4d5f274d59b,491745a6d390f410ad7855cab76d855be8c88154aa35c277815b45758618d388,6f4783295e3d76f75b208d2b5d041ce1adf8eb4999930f0ca6037f9e57253950,matched_strict_scalar_control_2026-08-26,dendritic_additive,scalar broadcast,per_soma,0.9072999954223633,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_coordinates_additive_15seed_20260825174138,2,30a4129a65e13a618db13822cdabdea07a70d324230c8b737dbeac236c59d571,2aa95acad0455b1d673c8c145059e035bc46259ef09096a5b29afc94ebe5ac40,39f380852dc872d5067c96bcd07bf865ee1a7f23686118fabfc9007539c821ed,matched_current_source_coordinates_2026-08-25,0.0
additive,dendritic_additive,45,scalar broadcast,scalar,0.9024999737739563,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_strict_scalar_additive_15seed_20260826004511,3,4d0bca0fb2398df431193f2a41fa9c389af05ef23a27c29a84b222cdcbd2127a,979270fbbf1a1e24f9fbc019969cd951a95eff5b326bda3d0634121713e3e396,13fef740fe84a671fdf41e07bce42e03084d0edfe216d4169534552a6cbd7d72,matched_strict_scalar_control_2026-08-26,dendritic_additive,scalar broadcast,per_soma,0.9217000007629395,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_coordinates_additive_15seed_20260825174138,3,148e795dbe05821192e6fb6f69b9bf4b1a7e1ad1635be193ab30b4063924eca1,6d65a727bea09af0c2250329d0bf774dccebd6ba530ed3f5ad14800e84792b6b,a390ba22df064f836535adb0771d7d5358ce7f11f46e22316473b844599c9e45,matched_current_source_coordinates_2026-08-25,-0.019200026988983154
additive,dendritic_additive,46,scalar broadcast,scalar,0.8858000040054321,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_strict_scalar_additive_15seed_20260826004511,4,8c7959b1445fe340891cd949109eceb02a3ec305a9ddeb90f5898000fd956f92,822e7c9fdd3b1e0a440b828c4613d71ac535ea1f3b3d7d6db6682387e2bbe6a8,a0b6f18896cbea2ad1c9417997ee40db581cf99f73828343e7bd386d9cef9cc1,matched_strict_scalar_control_2026-08-26,dendritic_additive,scalar broadcast,per_soma,0.9121999740600586,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/journal_extension_20260820/sweep_runs/mnist_feedback_ladder/journal_mnist_feedback_ladder_coordinates_additive_15seed_20260825174138,4,2580cc534360dd383c4a22ed44c1923472dd90da4c29ad65528c8aefdfe54973,a21508bd0864d59d65453f672a88d8de1a60fc7a29c8c9c9a786408a13c36ea9,5e524d2552deda61886617d2d271a93ce9f401ad117ee45cee723b16ac793c38,matched_current_source_coordinates_2026-08-25,-0.026399970054626465
