architecture,feedback,n_seeds,mean_accuracy,sd_accuracy,ci95_low,ci95_high
shunting,scalar broadcast,15,0.8587799866994222,0.016169161681801932,0.8510599851608276,0.8668001529574394
shunting,neuron specific,15,0.9712666432062785,0.0006965904127428706,0.9709333101908366,0.9716133077939352
shunting,exact path,15,0.9717133084932963,0.0013163136792670954,0.9710199713706971,0.9722999811172486
additive,scalar broadcast,15,0.8931466420491536,0.01272465324503069,0.8867466488480568,0.8991466363271078
additive,neuron specific,15,0.971239976088206,0.0013457838856022308,0.97058664560318,0.9719066381454468
additive,exact path,15,0.973099966843923,0.0011958215730889638,0.9725133021672566,0.9736799598733584
