architecture,contrast,n_seeds,mean_difference,ci95_low,ci95_high,positive_seeds,negative_seeds,tied_seeds,exact_two_sided_sign_flip_p
shunting,neuron specific - scalar broadcast,15,0.11248665650685628,0.10445999691883723,0.12031999041636784,15,0,0,6.103515625e-05
shunting,exact path - neuron specific,15,0.0004466652870178223,-0.00018001010020573933,0.0010200023651123046,10,4,1,0.185791015625
shunting,exact path - scalar broadcast,15,0.11293332179387411,0.10481998523076376,0.1207399806380272,15,0,0,6.103515625e-05
additive,neuron specific - scalar broadcast,15,0.07809333403905233,0.07236649254957835,0.08431333313385646,15,0,0,6.103515625e-05
additive,exact path - neuron specific,15,0.0018599907557169597,0.0011533180872599284,0.002566655476888021,14,1,0,0.00030517578125
additive,exact path - scalar broadcast,15,0.07995332479476928,0.07396666606267294,0.08644665082295735,15,0,0,6.103515625e-05
