architecture,seed,rule,mode,key,config,config_sha256,result_dir,study,source_commit,test_accuracy,valid_accuracy,train_accuracy,epochs,best_epoch,reached_budget,last10_valid_slope,wall_seconds,median_epoch_seconds,final_sha256,calibration_or_fallback_messages,hierarchy,depth,placement,archived_aligned_accuracy,replay_difference_pp,feedback
shunting,22600,strict_scalar,scalar,shunting_22600_strict_scalar,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/additional_figure_controls_20260922/configs/fashion/shunting_22600_strict_scalar.yaml,afd9ec84eb65150ebe27eb9fc431651cb1a5c5dcbc1c6b36587ee8f516aa4e9a,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/additional_figure_controls_20260922/results/fashion/shunting_22600_strict_scalar,fashion,e516c7fec3169253ff8c14bc5f4ab1325469e4f5,0.826200008392334,0.8363333344459534,0.8533750176429749,180,165,True,0.001089245617991762,286.65210342407227,,db25fe5d9a6edf1bb3f292d68876402f42e93983b305306cefe3f726322019be,,,,,,,strict scalar
shunting,22600,scalar_fallback,per_soma,shunting_22600_scalar_fallback,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/additional_figure_controls_20260922/configs/fashion/shunting_22600_scalar_fallback.yaml,bc0bf22fa4ae962325f82667a2f77eb0b80b1a63f6fc249befa4f03ae0d30027,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/additional_figure_controls_20260922/results/fashion/shunting_22600_scalar_fallback,fashion,e516c7fec3169253ff8c14bc5f4ab1325469e4f5,0.8316999673843384,0.8429999947547913,0.8585000038146973,180,180,True,-0.00016004958008274987,230.13004446029663,,c0d86c35e3487d10224a5233e9838d2456e8efa02e72b5dec39fd037a2187b66,"INFO setup_utils.py:969  Exact run-directory mode - using manifest path: /n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/additional_figure_controls_20260922/results/fashion/shunting_22600_scalar_fallback | INFO logging_config.py:73  Log file set to /n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/additional_figure_controls_20260922/results/fashion/shunting_22600_scalar_fallback/dendritic_modeling.log. | INFO setup_utils.py:994  Logging to /n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/additional_figure_controls_20260922/results/fashion/shunting_22600_scalar_fallback/train.log | INFO init_diagnostics.py:177  Post-build gate diagnostic clean (3 reactivation modules, written to /n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/additional_figure_controls_20260922/results/fashion/shunting_22600_scalar_fallback/init_gate_stats.json).",,,,,,scalar fallback
shunting,22600,neuron,per_soma_shared,shunting_22600_neuron,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/additional_figure_controls_20260922/configs/fashion/shunting_22600_neuron.yaml,be111f12a9445e9fece494077548b45c2bb4472299fdf27e0ce6e813b9025e6e,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/additional_figure_controls_20260922/results/fashion/shunting_22600_neuron,fashion,e516c7fec3169253ff8c14bc5f4ab1325469e4f5,0.882599949836731,0.8924999833106995,0.9231249690055847,180,119,True,0.0007991286841305873,234.55163955688477,,179c827f583436e2f334b0d0eb0a3e5dde1f12785460ddee331cf64b9dc1e95b,,,,,,,neuron indexed
shunting,22600,exact,path_transport,shunting_22600_exact,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/additional_figure_controls_20260922/configs/fashion/shunting_22600_exact.yaml,039d5d4ef45afeb789cf1990184d38969dc5638da6bfc7d867a30f1d1f9ed570,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/additional_figure_controls_20260922/results/fashion/shunting_22600_exact,fashion,e516c7fec3169253ff8c14bc5f4ab1325469e4f5,0.8840999603271484,0.8949999809265137,0.9313541650772095,180,93,True,0.002370116614813782,240.94696426391602,,5d4f1985dfb6cec0d1f0dc09cb7c127a07cdd1e595b2125ce0b349c4e089cc99,,,,,,,exact path
shunting,22601,strict_scalar,scalar,shunting_22601_strict_scalar,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/additional_figure_controls_20260922/configs/fashion/shunting_22601_strict_scalar.yaml,94edd7382c69915026f0b024044d872b779562a407329ae7375978a713c10289,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/additional_figure_controls_20260922/results/fashion/shunting_22601_strict_scalar,fashion,e516c7fec3169253ff8c14bc5f4ab1325469e4f5,0.8252999782562256,0.8345000147819519,0.839104175567627,180,160,True,0.0003057720555199587,285.83724999427795,,2ccfc7f2d3879dffc9518c42f11a950e28c5eee2fe7c001da182176323665568,,,,,,,strict scalar
shunting,22601,scalar_fallback,per_soma,shunting_22601_scalar_fallback,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/additional_figure_controls_20260922/configs/fashion/shunting_22601_scalar_fallback.yaml,42f26fac3e07c79e619c3987152058f9ac551064050211c8583e7097061a296e,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/additional_figure_controls_20260922/results/fashion/shunting_22601_scalar_fallback,fashion,e516c7fec3169253ff8c14bc5f4ab1325469e4f5,0.8430999517440796,0.8517500162124634,0.867020845413208,180,158,True,-0.00013729299246661674,231.46456098556519,,88391dc1e7ce67ee95adf760f96e75c2f35547b8ee42a3fe6296da93c78b0642,"INFO setup_utils.py:969  Exact run-directory mode - using manifest path: /n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/additional_figure_controls_20260922/results/fashion/shunting_22601_scalar_fallback | INFO logging_config.py:73  Log file set to /n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/additional_figure_controls_20260922/results/fashion/shunting_22601_scalar_fallback/dendritic_modeling.log. | INFO setup_utils.py:994  Logging to /n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/additional_figure_controls_20260922/results/fashion/shunting_22601_scalar_fallback/train.log | INFO init_diagnostics.py:177  Post-build gate diagnostic clean (3 reactivation modules, written to /n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/additional_figure_controls_20260922/results/fashion/shunting_22601_scalar_fallback/init_gate_stats.json).",,,,,,scalar fallback
shunting,22601,neuron,per_soma_shared,shunting_22601_neuron,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/additional_figure_controls_20260922/configs/fashion/shunting_22601_neuron.yaml,3c93269423d9ee215b03131b02fe442c6b005130567ce3e0d24befb167e0b551,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/additional_figure_controls_20260922/results/fashion/shunting_22601_neuron,fashion,e516c7fec3169253ff8c14bc5f4ab1325469e4f5,0.8822000026702881,0.8940833210945129,0.9242500066757202,180,120,True,0.0001633317234540258,233.32664847373962,,7d0f0e6cc2da7a7106b5368081ea59285e05de011a8b96a4cee82aa6b09de439,,,,,,,neuron indexed
shunting,22601,exact,path_transport,shunting_22601_exact,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/additional_figure_controls_20260922/configs/fashion/shunting_22601_exact.yaml,67b1c0ec62325d2b21654433a5338ce22508149ad10133814d7cafa46149ecaf,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/additional_figure_controls_20260922/results/fashion/shunting_22601_exact,fashion,e516c7fec3169253ff8c14bc5f4ab1325469e4f5,0.883899986743927,0.8891666531562805,0.9210624694824219,180,77,True,0.0014640051572009747,240.95615482330322,,a742f187a81cb08f86b62c4814f8c5f47d3edb1d789eb5afae8b4b1256742a7d,,,,,,,exact path
shunting,22602,strict_scalar,scalar,shunting_22602_strict_scalar,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/additional_figure_controls_20260922/configs/fashion/shunting_22602_strict_scalar.yaml,a1ccb9f11622c10a2f953952220ce5f7b8262d3d225c9f10c8acd5e20ad1670c,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/additional_figure_controls_20260922/results/fashion/shunting_22602_strict_scalar,fashion,e516c7fec3169253ff8c14bc5f4ab1325469e4f5,0.8337000012397766,0.8339166641235352,0.8582708239555359,180,176,True,-0.000207379666723368,285.9457805156708,,a4bbee009545c4c3e466bf8044e3cd3fc191a23033058fcc125e3aabac460282,,,,,,,strict scalar
shunting,22602,scalar_fallback,per_soma,shunting_22602_scalar_fallback,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/additional_figure_controls_20260922/configs/fashion/shunting_22602_scalar_fallback.yaml,0f06616eb53923ea2dc030ed7d814bc6dc7991478a783745748a7f290b2f92b7,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/additional_figure_controls_20260922/results/fashion/shunting_22602_scalar_fallback,fashion,e516c7fec3169253ff8c14bc5f4ab1325469e4f5,0.8409000039100647,0.844249963760376,0.8610833287239075,180,113,True,0.00011728448578806941,231.107093334198,,19ba13241dac6df75d5132ab3be154eedece40088eb5a8c50a3a042fe6ac1651,"INFO setup_utils.py:969  Exact run-directory mode - using manifest path: /n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/additional_figure_controls_20260922/results/fashion/shunting_22602_scalar_fallback | INFO logging_config.py:73  Log file set to /n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/additional_figure_controls_20260922/results/fashion/shunting_22602_scalar_fallback/dendritic_modeling.log. | INFO setup_utils.py:994  Logging to /n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/additional_figure_controls_20260922/results/fashion/shunting_22602_scalar_fallback/train.log | INFO init_diagnostics.py:177  Post-build gate diagnostic clean (3 reactivation modules, written to /n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/additional_figure_controls_20260922/results/fashion/shunting_22602_scalar_fallback/init_gate_stats.json).",,,,,,scalar fallback
