architecture,feedback,n_seeds,mean_accuracy,ci95_low,ci95_high
additive,exact path,10,0.8838099777698517,0.8828199744224549,0.8847399771213531
additive,neuron indexed,10,0.8814499735832214,0.8800099670886994,0.8827499866485595
additive,scalar fallback,10,0.8390799760818481,0.8335399746894836,0.8440599799156189
additive,strict scalar,10,0.8262199878692627,0.8209799885749817,0.8311599910259246
shunting,exact path,10,0.8831799805164338,0.881999714076519,0.8841899812221528
shunting,neuron indexed,10,0.8837599754333496,0.8828897245228291,0.8847099781036377
shunting,scalar fallback,10,0.8413799822330474,0.8377599833905697,0.84437997341156
shunting,strict scalar,10,0.8255299806594849,0.8235299766063691,0.8278099894523621
