architecture,contrast,n_seeds,mean_difference,ci95_low,ci95_high,positive_seeds,p_exact,p_holm
shunting,neuron indexed - strict scalar,10,0.05822999477386474,0.05569999217987061,0.06087999954819679,10,0.001953125,0.00390625
shunting,exact path - neuron indexed,10,-0.0005799949169158936,-0.0019899964332580566,0.0008000016212463378,4,0.47265625,
shunting,scalar fallback - strict scalar,10,0.015850001573562623,0.011379998922348023,0.019830000400543214,10,0.001953125,
shunting,neuron indexed - scalar fallback,10,0.04237999320030213,0.03959999680519104,0.04557998776435852,10,0.001953125,
additive,neuron indexed - strict scalar,10,0.05522998571395874,0.049689728766679764,0.0611599862575531,10,0.001953125,0.00390625
additive,exact path - neuron indexed,10,0.002360004186630249,0.0010900139808654786,0.0036900103092193603,9,0.0078125,
additive,scalar fallback - strict scalar,10,0.012859988212585449,0.006159991025924683,0.019849979877471925,8,0.01171875,
additive,neuron indexed - scalar fallback,10,0.04236999750137329,0.03752999305725098,0.04787000417709351,10,0.001953125,
