config,depth,branch_factors,test_gain_sigma,seed,train_accuracy,valid_accuracy,test_accuracy,train_auc,valid_auc,test_auc
0,1,8,0.25,10110,0.5390999913,0.5356999636,0.5331999660,0.5580319762,0.5506086946,0.5432496667
1,1,8,0.25,10111,0.5449000001,0.5310999751,0.5429999828,0.5584630370,0.5393673778,0.5582123399
2,1,8,0.50,10110,0.5390999913,0.5356999636,0.5166999698,0.5580319762,0.5506086946,0.5212355852
3,1,8,0.50,10111,0.5449000001,0.5310999751,0.5238000154,0.5584630370,0.5393673778,0.5362140536
4,1,8,0.80,10110,0.5390999913,0.5356999636,0.5062000155,0.5580319762,0.5506086946,0.5118575692
5,1,8,0.80,10111,0.5449000001,0.5310999751,0.5133000016,0.5584630370,0.5393673778,0.5244226456
6,2,2x3,0.25,10110,0.5618999600,0.5536000133,0.5485000014,0.5911312699,0.5791542530,0.5687231421
7,2,2x3,0.25,10111,0.5647000074,0.5435999632,0.5722999573,0.5914230943,0.5664362907,0.5972861052
8,2,2x3,0.50,10110,0.5618999600,0.5536000133,0.5174999833,0.5911312699,0.5791542530,0.5320506692
9,2,2x3,0.50,10111,0.5647000074,0.5435999632,0.5407999754,0.5914230943,0.5664362907,0.5612236857
10,2,2x3,0.80,10110,0.5618999600,0.5536000133,0.5074999928,0.5911312699,0.5791542530,0.5161305666
11,2,2x3,0.80,10111,0.5647000074,0.5435999632,0.5242999792,0.5914230943,0.5664362907,0.5432064533
12,3,2x1x2,0.25,10110,0.6556000113,0.6462999582,0.6365000010,0.7073663473,0.6995217800,0.6885771751
13,3,2x1x2,0.25,10111,0.6662999988,0.6381999850,0.6481999755,0.7193995118,0.6869851351,0.7007588148
14,3,2x1x2,0.50,10110,0.6556000113,0.6462999582,0.5633999705,0.7073663473,0.6995217800,0.5800810456
15,3,2x1x2,0.50,10111,0.6662999988,0.6381999850,0.5651000142,0.7193995118,0.6869851351,0.5922927260
16,3,2x1x2,0.80,10110,0.6556000113,0.6462999582,0.5267999768,0.7073663473,0.6995217800,0.5359275937
17,3,2x1x2,0.80,10111,0.6662999988,0.6381999850,0.5284000039,0.7193995118,0.6869851351,0.5487686992
