dataset,strategy,network_type,dynamics_mode,branch_factors,layer_sizes,valid_accuracy_mean,valid_accuracy_std,test_accuracy_mean,test_accuracy_std,valid_categorical_loglikelihood_mean,valid_categorical_loglikelihood_std
mnist,standard,dendritic_shunting,auto,"[3,3,3,3]",[20],0.9153777599334717,0.00262840472657428,0.9179599761962891,0.0041113259355196165,-0.3135680854320526,0.012626892988801314
mnist,standard,dendritic_shunting,auto,"[3,3,3]",[20],0.9141148090362549,0.0025237998936804354,0.9175399661064148,0.0052386010109413935,-0.3120165169239044,0.011425288265801463
mnist,standard,dendritic_shunting,auto,[9],[20],0.91207035779953,0.002842056766289334,0.9147199749946594,0.00445612048333437,-0.3049034893512726,0.009201915438185946
mnist,standard,dendritic_additive,auto,"[3,3,3,3]",[20],0.9080814480781555,0.0023419815526976124,0.910099983215332,0.0031630601960354102,-0.32937583327293396,0.004744468134891482
mnist,standard,dendritic_shunting,auto,"[3,3]",[20],0.9065222144126892,0.004327267512536138,0.9103999733924866,0.004483860905679938,-0.3325130045413971,0.018379538483877165
mnist,standard,dendritic_additive,auto,"[3,3,3]",[20],0.9037999749183655,0.0015476701181161051,0.9055999755859375,0.0036338703110535067,-0.34776644706726073,0.005679286845555259
mnist,standard,dendritic_additive,auto,[9],[20],0.8986036777496338,0.0034792702846887075,0.9036199808120727,0.005749960093867319,-0.34685502052307127,0.011374639357337128
mnist,standard,dendritic_additive,auto,"[3,3]",[20],0.8939555525779724,0.0029193148723984357,0.897499966621399,0.002432086917257954,-0.3689859926700592,0.01202467438956444
mnist,local_ca,dendritic_shunting,auto,[9],[20],0.6311185121536255,0.0574293182476227,0.6345600008964538,0.062158486033839715,-1.0822007417678834,0.12369284552209361
mnist,local_ca,dendritic_shunting,auto,"[3,3]",[20],0.6089110851287842,0.016250515441557215,0.6170999765396118,0.02154113600111685,-1.1446343183517456,0.04141004343402489
mnist,local_ca,dendritic_shunting,auto,"[3,3,3]",[20],0.5727814674377442,0.02738208430105751,0.5821199893951416,0.029715244994727795,-1.2235109567642213,0.058962065943549156
mnist,local_ca,dendritic_shunting,auto,"[3,3,3,3]",[20],0.5659999966621398,0.040546286133415,0.5738399744033813,0.04189501856616093,-1.2496431112289428,0.07206700066138058
mnist,local_ca,dendritic_additive,auto,[9],[20],0.5406851708889008,0.05498471568527684,0.5491999864578248,0.054160553284196625,-1.3840860366821288,0.14556657771728876
mnist,local_ca,dendritic_additive,auto,"[3,3]",[20],0.4614370226860046,0.05346479467193519,0.46511998772621155,0.05233228057572416,-1.5395238399505615,0.15229678626001722
mnist,local_ca,dendritic_additive,auto,"[3,3,3]",[20],0.36130369901657106,0.09262835307800324,0.36335999369621275,0.09463037363617258,-1.8242160081863403,0.25450934191052355
mnist,local_ca,dendritic_additive,auto,"[3,3,3,3]",[20],0.29421110451221466,0.10259852340224428,0.29727999269962313,0.10477712304632794,-1.9344606161117555,0.2237322145990346
