dataset,network_type,ie_value,strategy,rule_variant,error_broadcast_mode,n_runs,test_accuracy_mean,test_accuracy_std,valid_accuracy_mean,valid_accuracy_std,train_accuracy_mean,train_accuracy_std
mnist,dendritic_additive,0,local_ca,5f,per_soma,5,0.739199984073639,0.02936597645959941,0.7311499834060669,0.028182427959561364,0.7351791620254516,0.029593579073972455
mnist,dendritic_additive,5,local_ca,5f,per_soma,5,0.9005199909210205,0.013634943533781696,0.894599997997284,0.013573786439024208,0.9075208067893982,0.013105929552277785
mnist,dendritic_additive,10,local_ca,5f,per_soma,5,0.9091999769210816,0.008457246828227587,0.9044166564941406,0.008229577012073401,0.9176458120346069,0.006884190651765346
mnist,dendritic_additive,20,local_ca,5f,per_soma,5,0.9126599788665771,0.005252902357856991,0.9076833128929138,0.004101743179338823,0.9247958183288574,0.005678718833296907
mnist,dendritic_additive,40,local_ca,5f,per_soma,5,0.9061599612236023,0.012380954239082162,0.9026166439056397,0.012800366116622698,0.9209708213806153,0.014237483275533517
mnist,dendritic_shunting,0,local_ca,5f,per_soma,5,0.834719979763031,0.010805634649231727,0.8315333127975464,0.011487540780341879,0.8383458256721497,0.011986007542362658
mnist,dendritic_shunting,5,local_ca,5f,per_soma,5,0.9050399780273437,0.00590194075210781,0.8989166617393494,0.0029854914278768956,0.9130374789237976,0.006439471199858778
mnist,dendritic_shunting,10,local_ca,5f,per_soma,5,0.9125199794769288,0.0019344246011465183,0.9075166583061218,0.00591795538627751,0.9234583377838135,0.0046320062140934835
mnist,dendritic_shunting,20,local_ca,5f,per_soma,5,0.9116799831390381,0.004049927647683262,0.9078166604042053,0.003879873448904722,0.9297541618347168,0.008314950698983324
mnist,dendritic_shunting,40,local_ca,5f,per_soma,5,0.918619966506958,0.0029252365144339073,0.9169999837875367,0.003000572641195731,0.9387208104133606,0.006808672197915601
noise_resilience,dendritic_additive,0,local_ca,5f,per_soma,5,0.6676199913024903,0.03534581754286023,0.6670666575431824,0.03794602431339082,0.6816041588783264,0.03846815532689819
noise_resilience,dendritic_additive,5,local_ca,5f,per_soma,5,0.814419972896576,0.007183099710238472,0.809333324432373,0.009074934860150872,0.8330708265304565,0.016034363720064105
noise_resilience,dendritic_additive,10,local_ca,5f,per_soma,5,0.8178399801254272,0.00565181771025083,0.8112833261489868,0.008013151774297556,0.8457749962806702,0.006383088436186607
noise_resilience,dendritic_additive,20,local_ca,5f,per_soma,5,0.8352199792861938,0.0067986622885440745,0.8304666399955749,0.002518413159870042,0.8649374842643738,0.003982250705953772
noise_resilience,dendritic_additive,40,local_ca,5f,per_soma,5,0.8295399665832519,0.009195830621114925,0.826800000667572,0.010001838476082596,0.8580958247184753,0.013112257772097591
noise_resilience,dendritic_shunting,0,local_ca,5f,per_soma,5,0.5427599906921386,0.03490792296540088,0.5370999991893768,0.034549142828541206,0.5419333100318908,0.035161143236343596
noise_resilience,dendritic_shunting,5,local_ca,5f,per_soma,5,0.8120799779891967,0.011478117538575161,0.8066166758537292,0.008876776975997733,0.8234375,0.013057927558217414
noise_resilience,dendritic_shunting,10,local_ca,5f,per_soma,5,0.8372599840164184,0.011016500842941427,0.8283166527748108,0.010313221217100954,0.8554166555404663,0.011080025112278308
noise_resilience,dendritic_shunting,20,local_ca,5f,per_soma,5,0.8558799862861634,0.0036968905680911674,0.848283326625824,0.003161501024999677,0.8807083368301392,0.006537631104319981
noise_resilience,dendritic_shunting,40,local_ca,5f,per_soma,5,0.860699987411499,0.011734781541966676,0.8579833388328553,0.01603191296960737,0.8866291522979737,0.01844905561927857
