config_index,status,run_name,seed,condition,dataset,learning_rule,rule_variant,broadcast_mode,broadcast_rank,core,normalize_inputs,has_i_to_e,has_i_to_i,additive_gain_mode,dendritic_normalization,train_accuracy,valid_accuracy,test_accuracy,train_loss,valid_loss,test_loss
29,complete,cifar10_additive_5f_per_soma_gain_running_stats_s46,46,cifar10_additive_5f_per_soma_gain_running_stats,cifar10,local_ca,5f,per_soma,4.0,additive,False,True,False,running_stats,False,0.2449777871370315,0.2523999810218811,0.2442999929189682,,,
0,complete,cifar10_additive_standard_s42,42,cifar10_additive_standard,cifar10,standard,,,,additive,False,True,False,,False,0.6080666780471802,0.4829999804496765,0.4982999861240387,,,
1,complete,cifar10_additive_standard_s43,43,cifar10_additive_standard,cifar10,standard,,,,additive,False,True,False,,False,0.5479778051376343,0.4739999771118164,0.4763000011444092,,,
2,complete,cifar10_additive_standard_s44,44,cifar10_additive_standard,cifar10,standard,,,,additive,False,True,False,,False,0.5508666634559631,0.4713999927043915,0.4724999964237213,,,
3,complete,cifar10_additive_standard_s45,45,cifar10_additive_standard,cifar10,standard,,,,additive,False,True,False,,False,0.5895333290100098,0.4931999742984772,0.4840999841690063,,,
4,complete,cifar10_additive_standard_s46,46,cifar10_additive_standard,cifar10,standard,,,,additive,False,True,False,,False,0.5558888912200928,0.4913999736309051,0.4837999939918518,,,
55,complete,cifar10_shunting_5f_low_rank4_learned_i_s42,42,cifar10_shunting_5f_low_rank4_learned_i,cifar10,local_ca,5f,low_rank,4.0,shunting,False,True,False,none,False,0.3368000090122223,0.3366000056266784,0.3384999930858612,,,
56,complete,cifar10_shunting_5f_low_rank4_learned_i_s43,43,cifar10_shunting_5f_low_rank4_learned_i,cifar10,local_ca,5f,low_rank,4.0,shunting,False,True,False,none,False,0.3413777947425842,0.3348000049591064,0.3384000062942505,,,
57,complete,cifar10_shunting_5f_low_rank4_learned_i_s44,44,cifar10_shunting_5f_low_rank4_learned_i,cifar10,local_ca,5f,low_rank,4.0,shunting,False,True,False,none,False,0.359844446182251,0.3465999960899353,0.3569999933242798,,,
58,complete,cifar10_shunting_5f_low_rank4_learned_i_s45,45,cifar10_shunting_5f_low_rank4_learned_i,cifar10,local_ca,5f,low_rank,4.0,shunting,False,True,False,none,False,0.3548444509506225,0.3615999817848205,0.3578999936580658,,,
59,complete,cifar10_shunting_5f_low_rank4_learned_i_s46,46,cifar10_shunting_5f_low_rank4_learned_i,cifar10,local_ca,5f,low_rank,4.0,shunting,False,True,False,none,False,0.3510000109672546,0.3517999947071075,0.3569999933242798,,,
60,complete,cifar10_shunting_5f_path_transport_learned_i_s42,42,cifar10_shunting_5f_path_transport_learned_i,cifar10,local_ca,5f,path_transport,4.0,shunting,False,True,False,none,False,0.5203999876976013,0.4673999845981598,0.4635999798774719,,,
