dataset,strategy,network_type,dynamics_mode,error_noise_sigma,valid_accuracy_mean,valid_accuracy_std,test_accuracy_mean,test_accuracy_std,valid_categorical_loglikelihood_mean,valid_categorical_loglikelihood_std
mnist,local_ca,dendritic_shunting,auto,0.1,0.6108592510223388,0.04369900591065604,0.6182599782943725,0.05140143369512194,-1.1407222747802734,0.06472582277207507
mnist,local_ca,dendritic_shunting,auto,0.0,0.6089110851287842,0.016250515441557215,0.6170999765396118,0.02154113600111685,-1.1446343183517456,0.04141004343402489
mnist,local_ca,dendritic_shunting,auto,0.05,0.5964296221733093,0.02467727847683815,0.6051599860191346,0.025907786362875985,-1.1675050020217896,0.047779421594141835
mnist,local_ca,dendritic_shunting,auto,0.01,0.5824629545211792,0.03612500542556047,0.5883999824523926,0.042166822320436635,-1.1810325622558593,0.06176729236633201
mnist,local_ca,dendritic_shunting,auto,0.5,0.574229609966278,0.023187860730431827,0.5781599879264832,0.025661898617117828,-1.2393598556518555,0.056719205809772286
mnist,local_ca,dendritic_additive,auto,0.01,0.4637111008167267,0.06529153185195899,0.47069998979568484,0.06359065343815232,-1.5555754899978638,0.1782738127210092
mnist,local_ca,dendritic_shunting,auto,1.0,0.46330739855766295,0.0629294722515856,0.4693799912929535,0.061517735473736526,-1.5385939121246337,0.12913476498487372
mnist,local_ca,dendritic_additive,auto,0.0,0.4614370226860046,0.05346479467193519,0.46511998772621155,0.05233228057572416,-1.5395238399505615,0.15229678626001722
mnist,local_ca,dendritic_additive,auto,0.05,0.4164925813674927,0.07183934747737414,0.423799991607666,0.0711424688606762,-1.6096310377120973,0.18378338118556278
mnist,local_ca,dendritic_additive,auto,0.1,0.38359629213809965,0.0850584125364928,0.3844799935817719,0.08256396255226094,-1.7485021829605103,0.17775005637766947
mnist,local_ca,dendritic_additive,auto,0.5,0.22911851555109025,0.11926210474386388,0.23425999283790588,0.12282814086873498,-2.104236364364624,0.2476562409610301
mnist,local_ca,dendritic_additive,auto,1.0,0.11290370374917984,0.008914782956221006,0.11371999680995941,0.009232657476891023,-2.2988357067108156,0.0031720452985274715
