channels,method,residual,root_id,wiring_nonzeros,residual_sd,actual_channels
1,dense PCA oracle,0.9117877812804408,864691135060651419,,,
1,morphology-aware paths,0.9130375346146609,864691135060651419,2.0,,
1,random paths,0.9913445296253194,864691135060651419,,0.015094172333352989,
1,shuffled ancestry,0.9898167988785851,864691135060651419,,0.011797086839236606,
1,depth-only bins,0.9748099774384155,864691135060651419,,,1.0
2,dense PCA oracle,0.8242452977431242,864691135060651419,,,
2,morphology-aware paths,0.8692113750533678,864691135060651419,8.0,,
2,random paths,0.9845231589829551,864691135060651419,,0.01849989314872906,
2,shuffled ancestry,0.9761726175841469,864691135060651419,,0.015606193266855122,
2,depth-only bins,0.9617387896351707,864691135060651419,,,2.0
4,dense PCA oracle,0.7230567121656554,864691135060651419,,,
4,morphology-aware paths,0.7352539419651906,864691135060651419,11.0,,
4,random paths,0.9621026643299994,864691135060651419,,0.02714462190706412,
4,shuffled ancestry,0.9530422977457873,864691135060651419,,0.028441027781914745,
4,depth-only bins,0.9328928481561287,864691135060651419,,,4.0
8,dense PCA oracle,0.5982692958312184,864691135060651419,,,
8,morphology-aware paths,0.6581288127359883,864691135060651419,36.0,,
8,random paths,0.9146354112344497,864691135060651419,,0.05368117515270717,
8,shuffled ancestry,0.9070481513103593,864691135060651419,,0.03878474162768868,
8,depth-only bins,0.8793430827692051,864691135060651419,,,8.0
16,dense PCA oracle,0.3860616863217255,864691135060651419,,,
16,morphology-aware paths,0.506324334178587,864691135060651419,118.0,,
16,random paths,0.836825625667698,864691135060651419,,0.053127658129311535,
16,shuffled ancestry,0.8129306976029421,864691135060651419,,0.043434039547193146,
16,depth-only bins,0.7467351383582246,864691135060651419,,,16.0
1,dense PCA oracle,0.9418270429380942,864691135277186789,,,
1,morphology-aware paths,0.9729068271693503,864691135277186789,3.0,,
1,random paths,0.9875177918241966,864691135277186789,,0.014607969424996757,
1,shuffled ancestry,0.9873091511138496,864691135277186789,,0.009936277083909161,
1,depth-only bins,0.9824977303896683,864691135277186789,,,1.0
2,dense PCA oracle,0.8874630840613426,864691135277186789,,,
2,morphology-aware paths,0.9269159011188924,864691135277186789,5.0,,
2,random paths,0.9741498983397655,864691135277186789,,0.018656211989519663,
2,shuffled ancestry,0.9733900133762796,864691135277186789,,0.014437013594812824,
2,depth-only bins,0.9681407503071575,864691135277186789,,,2.0
4,dense PCA oracle,0.7902137795476157,864691135277186789,,,
4,morphology-aware paths,0.8492206825199078,864691135277186789,10.0,,
4,random paths,0.9493543452571769,864691135277186789,,0.023236448395279486,
4,shuffled ancestry,0.9517878400233001,864691135277186789,,0.01870059308206944,
4,depth-only bins,0.9385469036219434,864691135277186789,,,4.0
8,dense PCA oracle,0.6166584440292172,864691135277186789,,,
8,morphology-aware paths,0.7013908801060047,864691135277186789,18.0,,
8,random paths,0.9010372215118448,864691135277186789,,0.03665169296267971,
8,shuffled ancestry,0.9077777097166275,864691135277186789,,0.029955119697885127,
8,depth-only bins,0.865713193854583,864691135277186789,,,8.0
16,dense PCA oracle,0.3908761280735855,864691135277186789,,,
16,morphology-aware paths,0.4635997545043238,864691135277186789,28.0,,
16,random paths,0.7889843179807334,864691135277186789,,0.05059223378182873,
16,shuffled ancestry,0.8300208585990565,864691135277186789,,0.04101949684457681,
16,depth-only bins,0.7538376502795927,864691135277186789,,,16.0
1,dense PCA oracle,0.8623249668007666,864691135324623260,,,
1,morphology-aware paths,0.862995876170494,864691135324623260,2.0,,
1,random paths,0.9714764362623098,864691135324623260,,0.03215697832538577,
1,shuffled ancestry,0.9714198036650883,864691135324623260,,0.02716496762165325,
1,depth-only bins,0.9454483411725085,864691135324623260,,,1.0
2,dense PCA oracle,0.7746737020999234,864691135324623260,,,
2,morphology-aware paths,0.7774468775818582,864691135324623260,3.0,,
2,random paths,0.9390158370213426,864691135324623260,,0.04869809191815294,
2,shuffled ancestry,0.9467190927953232,864691135324623260,,0.031539196385967014,
2,depth-only bins,0.9191961082529556,864691135324623260,,,2.0
4,dense PCA oracle,0.6478429023064226,864691135324623260,,,
4,morphology-aware paths,0.7011670934689819,864691135324623260,7.0,,
4,random paths,0.8746225816161909,864691135324623260,,0.061492669477063326,
4,shuffled ancestry,0.8969969721600837,864691135324623260,,0.0450128303020438,
4,depth-only bins,0.8229721445676437,864691135324623260,,,4.0
8,dense PCA oracle,0.46998303073050024,864691135324623260,,,
8,morphology-aware paths,0.569090482454348,864691135324623260,14.0,,
8,random paths,0.7532896439431976,864691135324623260,,0.08307270864922388,
8,shuffled ancestry,0.797886365501594,864691135324623260,,0.06500019918273055,
8,depth-only bins,0.689530344075025,864691135324623260,,,8.0
16,dense PCA oracle,0.11968406880476995,864691135324623260,,,
16,morphology-aware paths,0.33361056455614785,864691135324623260,27.0,,
16,random paths,0.511633187120308,864691135324623260,,0.10765516372149724,
16,shuffled ancestry,0.5948355900732932,864691135324623260,,0.07844986430758086,
16,depth-only bins,0.370941255988325,864691135324623260,,,16.0
1,dense PCA oracle,0.8681989569675785,864691135196576298,,,
1,morphology-aware paths,0.8732469432186877,864691135196576298,2.0,,
1,random paths,0.9611745669177837,864691135196576298,,0.031634162569327634,
1,shuffled ancestry,0.9657265810105877,864691135196576298,,0.027421557108143882,
1,depth-only bins,0.931256265166269,864691135196576298,,,1.0
2,dense PCA oracle,0.7395074197199143,864691135196576298,,,
2,morphology-aware paths,0.7536668659531929,864691135196576298,5.0,,
2,random paths,0.9092114463895338,864691135196576298,,0.040796870021491946,
2,shuffled ancestry,0.9146250116345283,864691135196576298,,0.034221969046387204,
2,depth-only bins,0.9083320621013204,864691135196576298,,,2.0
4,dense PCA oracle,0.5570065363785631,864691135196576298,,,
4,morphology-aware paths,0.575688852841245,864691135196576298,7.0,,
4,random paths,0.8037545608252371,864691135196576298,,0.066868524164811,
4,shuffled ancestry,0.8574088834160836,864691135196576298,,0.06250158672174788,
4,depth-only bins,0.8022073931953001,864691135196576298,,,4.0
8,dense PCA oracle,0.2913657962840948,864691135196576298,,,
8,morphology-aware paths,0.44368734943687677,864691135196576298,12.0,,
8,random paths,0.5955795466344556,864691135196576298,,0.09313902296331887,
8,shuffled ancestry,0.74290922537589,864691135196576298,,0.0718163507047169,
8,depth-only bins,0.578731310115723,864691135196576298,,,8.0
16,dense PCA oracle,0.005792354192759232,864691135196576298,,,
16,morphology-aware paths,0.08039032627298057,864691135196576298,22.0,,
16,random paths,0.22232475122828055,864691135196576298,,0.08113717119740016,
16,shuffled ancestry,0.5331434687576271,864691135196576298,,0.12725763873470364,
16,depth-only bins,0.13955933603854195,864691135196576298,,,16.0
1,dense PCA oracle,0.8398268423222092,864691135409937097,,,
1,morphology-aware paths,0.8411087199573405,864691135409937097,1.0,,
1,random paths,0.9815098720719648,864691135409937097,,0.027741892079031626,
1,shuffled ancestry,0.9814183477872364,864691135409937097,,0.03517717064669919,
1,depth-only bins,0.9455699118293034,864691135409937097,,,1.0
2,dense PCA oracle,0.757932257276573,864691135409937097,,,
2,morphology-aware paths,0.7605687240568,864691135409937097,3.0,,
2,random paths,0.9540672788232392,864691135409937097,,0.055686398161340085,
2,shuffled ancestry,0.9575162524114329,864691135409937097,,0.04582683594192042,
2,depth-only bins,0.8978355405730808,864691135409937097,,,2.0
4,dense PCA oracle,0.608457414114483,864691135409937097,,,
4,morphology-aware paths,0.615377036682032,864691135409937097,6.0,,
4,random paths,0.906307804103806,864691135409937097,,0.07640063682424736,
4,shuffled ancestry,0.9029090388247797,864691135409937097,,0.07742196498128752,
4,depth-only bins,0.7894771035459773,864691135409937097,,,4.0
8,dense PCA oracle,0.3806575381990109,864691135409937097,,,
8,morphology-aware paths,0.499333857434345,864691135409937097,11.0,,
8,random paths,0.8286265892390718,864691135409937097,,0.0873846203218401,
8,shuffled ancestry,0.8218928108593717,864691135409937097,,0.09110613894163784,
8,depth-only bins,0.6130382330262586,864691135409937097,,,8.0
16,dense PCA oracle,0.10280667904042307,864691135409937097,,,
16,morphology-aware paths,0.1894088662486178,864691135409937097,26.0,,
16,random paths,0.6931558787283245,864691135409937097,,0.111198682054936,
16,shuffled ancestry,0.6085371135263884,864691135409937097,,0.11696075923787592,
16,depth-only bins,0.45488701263359965,864691135409937097,,,16.0
1,dense PCA oracle,0.8634600223772346,864691135739661169,,,
1,morphology-aware paths,0.8657649944314112,864691135739661169,3.0,,
1,random paths,0.9626215145363816,864691135739661169,,0.03906991772394863,
1,shuffled ancestry,0.9597243372216718,864691135739661169,,0.026734028851069618,
1,depth-only bins,0.9379554950564685,864691135739661169,,,1.0
2,dense PCA oracle,0.7223669508164734,864691135739661169,,,
2,morphology-aware paths,0.8154474510863097,864691135739661169,4.0,,
2,random paths,0.929111633443205,864691135739661169,,0.05190745748649013,
2,shuffled ancestry,0.9314559864238314,864691135739661169,,0.04094196029377808,
2,depth-only bins,0.9104709507140006,864691135739661169,,,2.0
4,dense PCA oracle,0.5270276910976812,864691135739661169,,,
4,morphology-aware paths,0.5409772631533674,864691135739661169,9.0,,
4,random paths,0.861116242916691,864691135739661169,,0.060754099178779664,
4,shuffled ancestry,0.8595631356070723,864691135739661169,,0.05334979306158303,
4,depth-only bins,0.8422828151081262,864691135739661169,,,4.0
8,dense PCA oracle,0.293521305934589,864691135739661169,,,
8,morphology-aware paths,0.3651591117405474,864691135739661169,14.0,,
8,random paths,0.6945961607579041,864691135739661169,,0.09843329928102208,
8,shuffled ancestry,0.7529669099853226,864691135739661169,,0.07891567344984017,
8,depth-only bins,0.679068750226026,864691135739661169,,,8.0
16,dense PCA oracle,0.06830812482828336,864691135739661169,,,
16,morphology-aware paths,0.15655275852698353,864691135739661169,51.0,,
16,random paths,0.3933472908540955,864691135739661169,,0.11880422623634593,
16,shuffled ancestry,0.4329855384622184,864691135739661169,,0.07666990348711757,
16,depth-only bins,0.22781174451261987,864691135739661169,,,16.0
1,dense PCA oracle,0.9070264816050021,864691135810666525,,,
1,morphology-aware paths,0.9441619828298934,864691135810666525,3.0,,
1,random paths,0.9902184297233358,864691135810666525,,0.01864101515595089,
1,shuffled ancestry,0.9838786024322719,864691135810666525,,0.01951935873734841,
1,depth-only bins,0.9726373327093463,864691135810666525,,,1.0
2,dense PCA oracle,0.8375864781696444,864691135810666525,,,
2,morphology-aware paths,0.8888782731173819,864691135810666525,5.0,,
2,random paths,0.9783951929891419,864691135810666525,,0.0257628442563324,
2,shuffled ancestry,0.966984116030444,864691135810666525,,0.026726301397415424,
2,depth-only bins,0.9534977760952081,864691135810666525,,,2.0
4,dense PCA oracle,0.7059677232909952,864691135810666525,,,
4,morphology-aware paths,0.7177978274905208,864691135810666525,8.0,,
4,random paths,0.9544429157589646,864691135810666525,,0.03684383014423702,
4,shuffled ancestry,0.9456332656623598,864691135810666525,,0.03759404879264077,
4,depth-only bins,0.9023031712656303,864691135810666525,,,4.0
8,dense PCA oracle,0.5389131791249717,864691135810666525,,,
8,morphology-aware paths,0.6244804347446654,864691135810666525,20.0,,
8,random paths,0.9123621214420886,864691135810666525,,0.05530187932940974,
8,shuffled ancestry,0.8943410930281327,864691135810666525,,0.043332267156362986,
8,depth-only bins,0.8431482106419312,864691135810666525,,,8.0
16,dense PCA oracle,0.3505746149914262,864691135810666525,,,
16,morphology-aware paths,0.4432800248097726,864691135810666525,51.0,,
16,random paths,0.799874576240784,864691135810666525,,0.07938999826100969,
16,shuffled ancestry,0.7737954976220862,864691135810666525,,0.05548834118428912,
16,depth-only bins,0.6887258376897086,864691135810666525,,,16.0
1,dense PCA oracle,0.8988043874372925,864691136043380566,,,
1,morphology-aware paths,0.8997078337758339,864691136043380566,1.0,,
1,random paths,0.9789846790482266,864691136043380566,,0.023171942921277455,
1,shuffled ancestry,0.9795363596302382,864691136043380566,,0.025585067842991124,
1,depth-only bins,0.9586818317659562,864691136043380566,,,1.0
2,dense PCA oracle,0.8120518257281366,864691136043380566,,,
2,morphology-aware paths,0.8205975659810284,864691136043380566,3.0,,
2,random paths,0.9492002864982805,864691136043380566,,0.03523127919918132,
