segment_id,parent_segment_id,edge_length_um,mean_radius_um,x_um,y_um,z_um,n_skeleton_nodes,topological_depth,path_length_um,n_children,is_leaf,is_branchpoint,E_count,E_size,I_count,I_size,root_id,g_total,g_i,log_path_gain,log_update_gain,credit_domain_fraction
0,-1,0.0,6.384,713.792,479.872,856.88,1,0,0.0,7,False,True,0,0.0,9,39808.0,864691135060651419,142.65351871555808,0.08247217641355421,0.0,-4.960418744131021,1.0
5223,0,11.715085868160317,3.1621791333989484,710.784,468.864,854.68,2,1,11.715085868160317,2,False,True,0,0.0,9,28368.0,864691135060651419,26.10360578047859,0.05877137008891946,-1.9646864705770295,-5.226759927872256,0.4209765792889416
5224,5223,2.6834604524754306,0.921,710.168,466.712,853.2,1,2,14.398546320635749,2,False,True,0,0.0,5,12360.0,864691135060651419,25.773631368026425,0.025606815224867616,-2.2310276543182654,-5.480379583607846,0.3784416276979846
5228,5224,8.24463494537174,0.9357182598744711,708.872,458.616,853.8,4,3,22.64318126600749,2,False,True,0,0.0,6,18368.0,864691135060651419,21.671170502560567,0.03805388204291006,-2.4846473100538553,-5.5606301390284925,0.3324466607442571
5233,5228,8.137562500010828,0.8974937088468423,708.736,450.576,854.56,5,4,30.78074376601832,2,False,True,0,0.0,3,4944.0,864691135060651419,30.851318465368486,0.010242726089947047,-2.5648978654745016,-5.994077352850049,0.3041287553021524
5239,5233,10.749565732206978,0.6275939733785891,708.968,441.864,860.44,6,5,41.53030949822529,2,False,True,0,0.0,2,6712.0,864691135060651419,19.52272586686557,0.013905577976481507,-3.654163518979535,-6.625742735033985,0.1756441264453048
5247,5239,12.866564393229645,0.5415429481119193,713.512,430.376,863.48,8,6,54.39687389145494,2,False,True,3,9420.0,4,7080.0,864691135060651419,3.62329987592142,0.014667981536574653,-4.760537666755214,-6.047922845301256,0.09011737620367823
5267,5247,39.581427959022136,0.5987864037711738,723.08,401.168,886.56,20,7,93.97830185047707,2,False,True,35,337300.0,16,70680.0,864691135060651419,9.545797409597807,0.14643120550919442,-5.1054806153346535,-7.361581611149454,0.07395641146634596
5272,5267,14.2019057669233,0.5370604243258887,724.352,391.488,896.72,5,8,108.18020761740037,2,False,True,7,68124.0,4,25348.0,864691135060651419,12.677796584241257,0.05251468869902462,-5.611744200994814,-8.15159636394508,0.057432459412960116
5275,5272,10.17880842929473,0.5097750469661363,728.392,391.304,905.8,3,9,118.3590160466951,2,False,True,8,114896.0,4,12140.0,864691135060651419,4.0235684532386315,0.02515103048785541,-6.172972875692057,-7.565142059507572,0.03782315810987258
5280,5275,19.791239235243957,0.43991869908639203,732.168,386.16,923.84,5,10,138.15025528193905,2,False,True,10,122032.0,7,48468.0,864691135060651419,1.542676684757641,0.10041352106139835,-6.546209212061498,-6.9797282267125755,0.021311228347531803
5359,5280,139.06932498574736,0.29509264838249954,823.304,324.96,983.16,79,11,277.2195802676864,0,True,False,50,356448.0,33,191824.0,864691135060651419,3.7247737687319984,0.39741114269377065,-8.709129683432602,-10.024135800193479,0.007652359997200524
5483,5275,56.3882530812103,0.3632155878944179,750.696,378.824,946.64,27,10,174.7472691279054,2,False,True,41,371248.0,20,119216.0,864691135060651419,3.0243060183772403,0.24698560548930562,-7.976417435288108,-9.08309908503869,0.01404529913392274
