task_id,family,bound,total_bound,depth,normalized_mse,max_local_error,parameter_norm,max_abs_parameter
matching_000,quadratic_matching,0.0,0.0,3,2.0329009348040322e-30,2.4775162804597402e-30,2.6457513110645916,1.0000000000000013
matching_001,quadratic_matching,0.0,0.0,3,2.1264939804708443e-30,2.4775162804597402e-30,2.645751311064591,1.0000000000000013
matching_002,quadratic_matching,0.0,0.0,3,1.9054392750669386e-30,2.4775162804597402e-30,2.645751311064591,1.000000000000001
matching_003,quadratic_matching,0.0,0.0,3,1.2729388527808313e-30,2.4775162804597402e-30,2.6457513110645916,1.0000000000000013
matching_004,quadratic_matching,0.0,0.0,3,1.602127060258193e-30,2.4775162804597402e-30,2.6457513110645916,1.0000000000000013
matching_005,quadratic_matching,0.0,0.0,3,1.4795141157288672e-30,2.4775162804597402e-30,2.645751311064591,1.000000000000001
matching_006,quadratic_matching,0.0,0.0,3,2.034045539914843e-30,3.344955127411751e-30,2.645751311064591,1.0000000000000013
matching_007,quadratic_matching,0.0,0.0,3,1.787107745140358e-30,2.4775162804597402e-30,2.6457513110645916,1.0000000000000013
matching_008,quadratic_matching,0.0,0.0,3,1.4391924867961096e-30,2.4775162804597402e-30,2.645751311064591,1.0000000000000013
matching_009,quadratic_matching,0.0,0.0,3,2.8679090416162913e-30,3.344955127411751e-30,2.645751311064591,1.0000000000000013
matching_010,quadratic_matching,0.0,0.0,3,1.3858018724998555e-30,2.4775162804597402e-30,2.6457513110645916,1.0000000000000013
matching_011,quadratic_matching,0.0,0.0,3,1.0887569898082573e-30,2.4775162804597402e-30,2.645751311064591,1.0000000000000013
matching_012,quadratic_matching,0.0,0.0,3,2.0673922086957574e-30,3.344955127411751e-30,2.645751311064591,1.000000000000001
matching_013,quadratic_matching,0.0,0.0,3,1.5880846290233265e-30,2.4775162804597402e-30,2.645751311064591,1.0000000000000013
matching_014,quadratic_matching,0.0,0.0,3,1.39603428412949e-30,2.4775162804597402e-30,2.645751311064591,1.0000000000000013
matching_015,quadratic_matching,0.0,0.0,3,7.757278140877281e-31,1.8242408433235898e-30,2.645751311064591,1.0000000000000013
matching_016,quadratic_matching,0.0,0.0,3,9.359563404089508e-31,2.2186712959340957e-30,2.645751311064591,1.0000000000000013
matching_017,quadratic_matching,0.0,0.0,3,9.180187346838856e-31,1.7256332301709633e-30,2.645751311064591,1.000000000000001
matching_018,quadratic_matching,0.0,0.0,3,9.49286426681608e-31,1.7749370367472766e-30,2.645751311064591,1.0000000000000013
matching_019,quadratic_matching,0.0,0.0,3,7.8457014504990006e-31,2.2186712959340957e-30,2.645751311064591,1.0000000000000013
matching_020,quadratic_matching,0.0,0.0,3,6.115615975941774e-31,1.7256332301709633e-30,2.6457513110645907,1.000000000000001
matching_021,quadratic_matching,0.0,0.0,3,1.4204252257907153e-30,2.8596207814261678e-30,2.6457513110645916,1.000000000000001
matching_022,quadratic_matching,0.0,0.0,3,1.6342854633663114e-30,2.8596207814261678e-30,2.645751311064591,1.0000000000000013
matching_023,quadratic_matching,0.0,0.0,3,1.553339755063958e-30,2.8596207814261678e-30,2.645751311064591,1.0000000000000013
matching_024,quadratic_matching,0.0,0.0,3,1.2281825325249809e-30,2.662405555120915e-30,2.645751311064591,1.000000000000001
matching_025,quadratic_matching,0.0,0.0,3,1.1166270483663543e-30,2.662405555120915e-30,2.645751311064591,1.0000000000000013
matching_026,quadratic_matching,0.0,0.0,3,1.438038395971528e-30,2.662405555120915e-30,2.6457513110645907,1.0000000000000013
matching_027,quadratic_matching,0.0,0.0,3,1.4327207119243425e-30,4.88415833896603e-30,2.6457513110645916,1.000000000000001
matching_028,quadratic_matching,0.0,0.0,3,1.2102846694189421e-30,4.88415833896603e-30,2.6457513110645916,1.0000000000000013
matching_029,quadratic_matching,0.0,0.0,3,1.3816743590665844e-30,4.88415833896603e-30,2.6457513110645916,1.0000000000000013
matching_030,quadratic_matching,0.0,0.0,3,1.3817470323717809e-30,1.8242408433235898e-30,2.645751311064591,1.0000000000000013
matching_031,quadratic_matching,0.0,0.0,3,2.2126538649309984e-30,2.2186712959340957e-30,2.6457513110645916,1.0000000000000013
matching_032,quadratic_matching,0.0,0.0,3,1.1300423456734561e-30,1.7256332301709633e-30,2.6457513110645907,1.000000000000001
matching_033,quadratic_matching,0.0,0.0,3,6.323401950720409e-31,1.7749370367472766e-30,2.645751311064591,1.0000000000000013
matching_034,quadratic_matching,0.0,0.0,3,7.125661376869954e-31,1.9721522630525295e-30,2.645751311064591,1.0000000000000013
matching_035,quadratic_matching,0.0,0.0,3,8.486778272529696e-31,1.7256332301709633e-30,2.645751311064591,1.000000000000001
matching_036,quadratic_matching,0.0,0.0,3,1.3050888149105398e-30,2.8596207814261678e-30,2.6457513110645916,1.000000000000001
matching_037,quadratic_matching,0.0,0.0,3,1.761647640198507e-30,2.8596207814261678e-30,2.645751311064591,1.0000000000000013
matching_038,quadratic_matching,0.0,0.0,3,1.4022469587652161e-30,2.8596207814261678e-30,2.6457513110645907,1.0000000000000013
matching_039,quadratic_matching,0.0,0.0,3,1.156386912742944e-30,2.662405555120915e-30,2.645751311064591,1.000000000000001
matching_040,quadratic_matching,0.0,0.0,3,1.1387698110680726e-30,2.662405555120915e-30,2.645751311064591,1.0000000000000013
matching_041,quadratic_matching,0.0,0.0,3,1.4891528470481978e-30,2.662405555120915e-30,2.645751311064591,1.0000000000000013
matching_042,quadratic_matching,0.0,0.0,3,1.2441222914659494e-30,4.88415833896603e-30,2.6457513110645916,1.000000000000001
matching_043,quadratic_matching,0.0,0.0,3,1.2069213843676325e-30,4.88415833896603e-30,2.6457513110645916,1.0000000000000013
matching_044,quadratic_matching,0.0,0.0,3,1.1362295783955018e-30,4.88415833896603e-30,2.645751311064591,1.0000000000000013
matching_045,quadratic_matching,0.0,0.0,3,8.218400993187527e-31,1.7749370367472766e-30,2.6457513110645916,1.0000000000000013
matching_046,quadratic_matching,0.0,0.0,3,1.3770102922128355e-30,2.2186712959340957e-30,2.645751311064591,1.0000000000000013
matching_047,quadratic_matching,0.0,0.0,3,8.625912618565595e-31,1.7256332301709633e-30,2.6457513110645907,1.000000000000001
matching_048,quadratic_matching,0.0,0.0,3,6.545925661835792e-31,1.7749370367472766e-30,2.645751311064591,1.0000000000000013
matching_049,quadratic_matching,0.0,0.0,3,8.735387527167658e-31,1.9721522630525295e-30,2.645751311064591,1.0000000000000013
matching_050,quadratic_matching,0.0,0.0,3,9.75923403675707e-31,1.7256332301709633e-30,2.645751311064591,1.000000000000001
matching_051,quadratic_matching,0.0,0.0,3,1.704409379134819e-30,2.8596207814261678e-30,2.645751311064591,1.000000000000001
matching_052,quadratic_matching,0.0,0.0,3,1.2029041599501227e-30,2.8596207814261678e-30,2.645751311064591,1.0000000000000013
matching_053,quadratic_matching,0.0,0.0,3,1.5922943632802953e-30,2.8596207814261678e-30,2.6457513110645907,1.0000000000000013
