network_type,relative_step,n_seeds,exact_loss_decrease_mean,exact_loss_decrease_sem,norm_matched_loss_decrease_mean,norm_matched_loss_decrease_sem,norm_matched_descent_count,norm_matched_fraction_of_exact_mean,norm_matched_fraction_of_exact_sem
dendritic_additive,1e-06,5,0.00160771608352656,0.00011537999085956479,0.00020186007022852522,4.1677605830910145e-05,5,0.12170557146083927,0.019750397208604865
dendritic_shunting,1e-06,5,0.00039953589439387994,4.994496613676755e-05,8.41438770294057e-05,4.077251641408278e-05,4,0.18534408766735527,0.07277007847144432
dendritic_additive,3e-06,5,0.0047154694795608,0.00038086576616341004,0.0006066650152206,0.00012794037204868046,5,0.12443311340851242,0.01991583020676894
dendritic_shunting,3e-06,5,0.0011468559503554601,0.00010242238829124676,0.00024904310703273067,0.00011723286944916851,4,0.1973131222829919,0.08055470530134874
dendritic_additive,1e-05,5,0.014577049016952481,0.0014020420412493878,0.00209798216819756,0.00043274476455119974,5,0.13976152539879505,0.021042271462633252
dendritic_shunting,1e-05,5,0.00364988446235652,0.00017060542673663466,0.0008037775754927998,0.00035234037701914835,4,0.21163825809847134,0.08989347617808419
dendritic_additive,3e-05,5,0.033474254608154265,0.003255413958562396,0.00699806511402124,0.001330848857498482,5,0.20721834796765065,0.030170665018965596
dendritic_shunting,3e-05,5,0.011112251877784678,0.0014900924861911311,0.0021268516778945546,0.0008286675068416193,5,0.22483673494517906,0.10195829831718566
dendritic_additive,0.0001,5,0.06364294737577433,0.005062611853388586,0.02225642204284662,0.0033350100192303875,5,0.3436750358723647,0.02866369874891929
dendritic_shunting,0.0001,5,0.025188365578651378,0.0016524206151663744,0.00630287230014794,0.0016967096447449697,5,0.26881615670635517,0.08887486274825666
dendritic_additive,0.0003,5,0.0977126523852348,0.008028286568532092,0.055177508294582324,0.009487376339678227,5,0.562689512182876,0.07589921195463906
dendritic_shunting,0.0003,5,0.048740774393081644,0.002100591017704625,0.015301188826560919,0.0029015090400335134,5,0.32597561824431615,0.07331609490763132
dendritic_additive,0.001,5,0.11344206333160396,0.014912857212496165,0.06949091553688044,0.02298883771761899,5,0.6029558769808375,0.16295087167053512
dendritic_shunting,0.001,5,0.08569124639034267,0.003933905697027976,0.03193753659725186,0.004702200734038398,5,0.3844857961528929,0.0654934615156534
