condition,n_seeds,weighted_cosine_mean,weighted_cosine_sem,concatenated_cosine_mean,concatenated_cosine_sem,norm_ratio_mean,norm_ratio_sem
exact_full,5,1.0000000252970662,2.048866623266455e-08,1.0000000197522407,3.066517781754958e-08,0.9999999663645343,2.4012177085226874e-08
transport_R_no_inhibition,5,0.9913610101468059,0.0007898848975235541,0.9897516637956727,0.0028875495129040943,1.1020578763226179,0.03638861063335635
eligibility_R_no_inhibition,5,0.9841140336686397,0.002556675461552029,0.9781176780397237,0.00340709665110354,1.2879140613763707,0.028164889896959595
eligibility_and_transport_R_no_inhibition,5,0.9755888789298524,0.0035436101584898788,0.9696908004768969,0.00478076994482054,1.4112096731280532,0.01720090473041874
synaptic_voltage_proxy,5,0.9706599130288538,0.005189721128921814,0.9610565425446239,0.008406410609113379,0.9288323229817343,0.033068733691307854
eligibility_R_one,5,0.9476832998093381,0.00854106617061837,0.864224999607667,0.0080074712479739,5.557895351623907,0.5345384610667068
transport_no_parent_derivative,5,0.3851395867383812,0.03999687125637137,0.3973596963175849,0.04253956991484503,0.4160530057374114,0.05048121653144446
transport_no_R_or_parent_derivative,5,0.38023093285598597,0.0373432413882725,0.3955991633781769,0.04042232350883586,0.4315694076573142,0.05461478177824685
submitted_full,5,0.19013349047790012,0.07615009581119175,0.17572489968965754,0.06692354556295561,0.3769755007466404,0.046892537577373786
submitted_eligibility_R_no_inhibition,5,0.18536586474897376,0.07576057974749649,0.16974782526787108,0.06854984483762801,0.49201586797872443,0.05563483869156657
