hierarchy,regime,architecture,credit,depth,n_seeds,mean_test_accuracy,ci_low,ci_high
2,aligned,grouped_point,full_bp,1,10,0.6588399767875671,0.6555799663066864,0.6617999792098999
2,aligned,grouped_point,full_bp,2,10,0.6590699851512909,0.655519986152649,0.662259989976883
2,aligned,serial_tree,full_bp,1,10,0.6588399767875671,0.6555599747598172,0.6618099808692932
2,aligned,serial_tree,full_bp,2,10,0.9672399759292603,0.965539962053299,0.9689499795436859
2,aligned,serial_tree,local_path,1,10,0.6547399818897247,0.6514699816703796,0.65758997797966
2,aligned,serial_tree,local_path,2,10,0.9685699701309204,0.9657999634742737,0.970989978313446
2,aligned,serial_tree,local_shared,1,10,0.6550599932670593,0.6517699956893921,0.6579599916934967
2,aligned,serial_tree,local_shared,2,10,0.8670899868011475,0.8474199891090393,0.885619992017746
2,rewired_tree,grouped_point,full_bp,1,10,0.659279978275299,0.6557899713516235,0.6624299766123295
2,rewired_tree,grouped_point,full_bp,2,10,0.6590699791908264,0.65586998462677,0.6619599701464176
2,rewired_tree,serial_tree,full_bp,1,10,0.6591899752616882,0.6557099698483945,0.6623499810695648
2,rewired_tree,serial_tree,full_bp,2,10,0.6436299860477448,0.6406399963796139,0.6461099863052369
2,rewired_tree,serial_tree,local_path,1,10,0.6551199853420258,0.651909989118576,0.6579699814319611
2,rewired_tree,serial_tree,local_path,2,10,0.6353799879550934,0.632369989156723,0.6381799936294555
2,rewired_tree,serial_tree,local_shared,1,10,0.6551799893379211,0.6518697386980057,0.6581199824810028
2,rewired_tree,serial_tree,local_shared,2,10,0.6378999888896942,0.6348699927330017,0.6405099928379059
3,aligned,grouped_point,full_bp,1,10,0.6095499873161316,0.6068999886512756,0.6120599925518035
3,aligned,grouped_point,full_bp,2,10,0.6099599897861481,0.6071999907493592,0.6125399768352509
3,aligned,grouped_point,full_bp,3,10,0.6094699800014496,0.6067899823188782,0.6119499683380127
3,aligned,grouped_star,full_bp,1,10,0.6096799790800002,0.60701998473,0.6121199726902501
3,aligned,grouped_star,full_bp,2,10,0.60977998377,0.6069899857200001,0.6123899877102501
3,aligned,grouped_star,full_bp,3,10,0.61006999017,0.607099998,0.61289999486
3,aligned,serial_tree,full_bp,1,10,0.6096299767599999,0.60694997907,0.6121699750599999
3,aligned,serial_tree,full_bp,2,10,0.6752199828700001,0.6722699820999999,0.6781399905899999
3,aligned,serial_tree,full_bp,3,10,0.91817997694,0.9143299817999999,0.9223099710185
3,rewired_tree,grouped_point,full_bp,1,10,0.610839980840683,0.6080699801445008,0.6133499860763549
3,rewired_tree,grouped_point,full_bp,2,10,0.6109099924564362,0.6079897350072861,0.6135399878025055
3,rewired_tree,grouped_point,full_bp,3,10,0.6110799908638,0.6082199871540069,0.6136399865150451
3,rewired_tree,grouped_star,full_bp,1,10,0.61066998839,0.60779997690075,0.61317998766
3,rewired_tree,grouped_star,full_bp,2,10,0.61106998921,0.60817997455975,0.61357998849
3,rewired_tree,grouped_star,full_bp,3,10,0.6110099911600002,0.60812000035,0.61353998781
3,rewired_tree,serial_tree,full_bp,1,10,0.6109499871599999,0.6081197269055001,0.61339998842
3,rewired_tree,serial_tree,full_bp,2,10,0.6058199882399999,0.6025599896799999,0.6090899944099999
3,rewired_tree,serial_tree,full_bp,3,10,0.6066799819500001,0.60265998842,0.6112099707099999
