estimand,root_id,n_focal_sites,matched_additive_localization,reference_localization,adjoint_only_localization,driving_force_only_localization,full_shunt_localization,adjoint_first_marginal,adjoint_second_marginal,driving_force_first_marginal,driving_force_second_marginal,factor_interaction,adjoint_shapley,driving_force_shapley,total_contrast,reconciliation_residual
full_shunt_minus_matched_additive,864691135060651419,16,0.021648370511145449,0.021648370511145449,0.11405215908214202,0.017296060330155426,0.096779718858951605,0.09240378857099657,0.079483658528796172,-0.0043523101809900258,-0.017272440223190418,-0.012920130042200394,0.085943723549896378,-0.010812375202090222,0.075131348347806146,-2.0599841277224584e-18
full_shunt_minus_matched_additive,864691135196576298,4,0.005994023352308875,0.005994023352308875,0.040341660847353397,0.0056427076463886,0.034698953200964597,0.03434763749504452,0.029056245554575998,-0.00035131570592027497,-0.0056427076463887995,-0.0052913919404685246,0.031701941524810262,-0.0029970116761545373,0.028704929848655723,-1.5178830414797062e-18
full_shunt_minus_matched_additive,864691135277186789,16,0.034318224663883998,0.034318224663883998,0.14863655411136803,0.02727046854694587,0.12198238306090579,0.11431832944748403,0.094711914513959924,-0.0070477561169381316,-0.026654171050462236,-0.019606414933524104,0.10451512198072198,-0.016850963583700182,0.087664158397021796,-1.7347234759768071e-18
full_shunt_minus_matched_additive,864691135324623260,10,0.030673251189337291,0.030673251189337291,0.13572914310235795,0.022304652158118329,0.11344917474102616,0.10505589191302067,0.091144522582907825,-0.0083685990312189588,-0.022279968361331799,-0.013911369330112838,0.098100207247964241,-0.015324283696275379,0.082775923551688863,5.898059818321144e-18
full_shunt_minus_matched_additive,864691135409937097,15,0.062408195512093048,0.062408195512093048,0.16804289849550519,0.046566719635733958,0.1214761788597833,0.10563470298341213,0.074909459224049346,-0.015841475876359087,-0.04656671963572187,-0.030725243759362784,0.090272081103730736,-0.03120409775604048,0.059067983347690256,-1.5612511283791264e-18
full_shunt_minus_matched_additive,864691135739661169,8,0.078919382189065482,0.078919382189065482,0.18967464308374446,0.049446489358081602,0.14019569790841305,0.11075526089467896,0.090749208550331445,-0.029472892830983879,-0.049478945175331412,-0.020006052344347523,0.1007522347225052,-0.039475919003157646,0.061276315719347552,-3.0357660829594124e-18
full_shunt_minus_matched_additive,864691135810666525,16,0.021822255490387087,0.021822255490387087,0.15024295009793903,0.017587787484595701,0.13271116556492546,0.12842069460755196,0.11512337808032976,-0.0042344680057913872,-0.017531784533013569,-0.013297316527222179,0.12177203634394085,-0.010883126269402478,0.11088891007453838,-3.4694469519536142e-18
full_shunt_minus_matched_additive,864691136043380566,16,0.023525103184285863,0.023525103184285863,0.092994402475867016,0.019604861648230863,0.073389540827637781,0.069469299291581146,0.053784679179406915,-0.0039202415360550004,-0.019604861648229235,-0.015684620112174235,0.061626989235494027,-0.011762551592142118,0.049864437643351911,1.6263032587282567e-18
full_shunt_minus_unperturbed,864691135060651419,16,0.021648370511145449,0,0.11405215908214202,0.017296060330155426,0.096779718858951605,0.11405215908214202,0.079483658528796172,0.017296060330155426,-0.017272440223190418,-0.034568500553345843,0.096767908805469094,1.1810053482502498e-05,0.096779718858951605,2.3852447794681098e-18
full_shunt_minus_unperturbed,864691135196576298,4,0.005994023352308875,0,0.040341660847353397,0.0056427076463886,0.034698953200964597,0.040341660847353397,0.029056245554575998,0.0056427076463886,-0.0056427076463887995,-0.0112854152927774,0.034698953200964701,-9.971949481435427e-17,0.034698953200964597,0
full_shunt_minus_unperturbed,864691135277186789,16,0.034318224663883998,0,0.14863655411136803,0.02727046854694587,0.12198238306090579,0.14863655411136803,0.094711914513959924,0.02727046854694587,-0.026654171050462236,-0.053924639597408106,0.12167423431266397,0.00030814874824181752,0.12198238306090579,-1.7347234759768071e-18
full_shunt_minus_unperturbed,864691135324623260,10,0.030673251189337291,0,0.13572914310235795,0.022304652158118329,0.11344917474102616,0.13572914310235795,0.091144522582907825,0.022304652158118329,-0.022279968361331799,-0.044584620519450127,0.11343683284263288,1.234189839326589e-05,0.11344917474102616,-2.4286128663675298e-18
full_shunt_minus_unperturbed,864691135409937097,15,0.062408195512093048,0,0.16804289849550519,0.046566719635733958,0.1214761788597833,0.16804289849550519,0.074909459224049346,0.046566719635733958,-0.04656671963572187,-0.093133439271455828,0.12147617885977727,6.0435814339121482e-15,0.1214761788597833,-1.8503717077085942e-18
full_shunt_minus_unperturbed,864691135739661169,8,0.078919382189065482,0,0.18967464308374446,0.049446489358081602,0.14019569790841305,0.18967464308374446,0.090749208550331445,0.049446489358081602,-0.049478945175331412,-0.098925434533413001,0.14021192581703795,-1.6227908624904272e-05,0.14019569790841305,-3.4694469519536142e-18
full_shunt_minus_unperturbed,864691135810666525,16,0.021822255490387087,0,0.15024295009793903,0.017587787484595701,0.13271116556492546,0.15024295009793903,0.11512337808032976,0.017587787484595701,-0.017531784533013569,-0.035119572017609263,0.13268316408913439,2.8001475791066015e-05,0.13271116556492546,-6.9388939039072284e-18
full_shunt_minus_unperturbed,864691136043380566,16,0.023525103184285863,0,0.092994402475867016,0.019604861648230863,0.073389540827637781,0.092994402475867016,0.053784679179406915,0.019604861648230863,-0.019604861648229235,-0.039209723296460094,0.073389540827636962,8.1351754759734218e-16,0.073389540827637781,3.2526065174565133e-19
