root_id,mode,localization_index
864691135060651419,adjoint only,0.11405215908214207
864691135060651419,driving force only,0.01729606033015546
864691135060651419,full shunt,0.09677971885895165
864691135060651419,matched additive,0.021648370511145515
864691135196576298,adjoint only,0.04034166084735343
864691135196576298,driving force only,0.005642707646388646
864691135196576298,full shunt,0.03469895320096466
864691135196576298,matched additive,0.005994023352308943
864691135277186789,adjoint only,0.14863655411136806
864691135277186789,driving force only,0.027270468546945932
864691135277186789,full shunt,0.12198238306090584
864691135277186789,matched additive,0.03431822466388405
864691135324623260,adjoint only,0.135729143102358
864691135324623260,driving force only,0.022304652158118384
864691135324623260,full shunt,0.11344917474102618
864691135324623260,matched additive,0.030673251189337346
864691135409937097,adjoint only,0.16804289849550522
864691135409937097,driving force only,0.04656671963573401
864691135409937097,full shunt,0.12147617885978335
864691135409937097,matched additive,0.0624081955120931
864691135739661169,adjoint only,0.1896746430837445
864691135739661169,driving force only,0.04944648935808166
864691135739661169,full shunt,0.14019569790841307
864691135739661169,matched additive,0.07891938218906555
864691135810666525,adjoint only,0.15024295009793906
864691135810666525,driving force only,0.017587787484595756
864691135810666525,full shunt,0.13271116556492552
864691135810666525,matched additive,0.021822255490387146
864691136043380566,adjoint only,0.09299440247586704
864691136043380566,driving force only,0.01960486164823092
864691136043380566,full shunt,0.07338954082763782
864691136043380566,matched additive,0.02352510318428591
