feedback,run_dir,seed,network_type,rule_variant,broadcast_mode,decoder_update_mode,init_policy,test_accuracy,config_sha256,result_sha256,checkpoint_sha256
ancestry_shared,reproduction_runs/journal_feedback_definition_additive_3f_mnist_15seed_20260731150354/results/config_15,42,dendritic_additive,3f,per_soma_shared,local,occupancy_quantile,0.9700999855995178,fa12c8f0215e9f3ee168d807d87f999128d5ea6f22e70c061c09eb39ede19895,73ee648e05b13b973d16564c0564385ce44b40e6b54302055b29186ee5bca338,7a161607452453af1372981e6feee18f7675f58a5aeea001ce660250ff4546f6
ancestry_shared,reproduction_runs/journal_feedback_definition_additive_3f_mnist_15seed_20260731150354/results/config_16,43,dendritic_additive,3f,per_soma_shared,local,occupancy_quantile,0.9709999561309814,4d51c0a4fcd2dc3ca001c70d6cc92fcb4436af6f32953eabaf2974428e42c2c6,fcd0e8c11224280efa1224df4c49829b6fbf489e3a6a9ca3c62027447bf8317a,e5d4a52b48a18b6d1fb512a6494a403bc8250ecf03e12b9007068efef0f7cfd6
ancestry_shared,reproduction_runs/journal_feedback_definition_additive_3f_mnist_15seed_20260731150354/results/config_17,44,dendritic_additive,3f,per_soma_shared,local,occupancy_quantile,0.9724999666213989,43a5a49cc657adc20c4de5d128ed05903b6dc0e00e460f4dbe55b794f67b7b27,78a771fd24eef19bab6da59b13c0ae654c9bacae3f4e8dbc73defd2e13ac7e31,84decb231e1125af80f1cd7c4d4272520e80c1dc5d47cc5b0bf37495b4a25aba
ancestry_shared,reproduction_runs/journal_feedback_definition_additive_3f_mnist_15seed_20260731150354/results/config_18,45,dendritic_additive,3f,per_soma_shared,local,occupancy_quantile,0.9702999591827393,92cf5b442524de3c09e5cbe6623932d8cfc871edaac0d1164cd9a16d4768da01,cc4d035cccb2c0b63e3127883cdd6a9e76e6fb4515db4c9062d5496e5528c0aa,4ca69ad70a486085082cd68a77c0e8c465a87293465a0730681c20708e84b723
ancestry_shared,reproduction_runs/journal_feedback_definition_additive_3f_mnist_15seed_20260731150354/results/config_19,46,dendritic_additive,3f,per_soma_shared,local,occupancy_quantile,0.9702999591827393,8e149e971db547ffad57196420f7f5610385034358dc23465e825142da7f21c4,6b32361633d48a4c0e199d27f7262fcd7215b4b68e79bb780257f73fba7efb03,722c47bbffb0de19352fd0e6caaa1af9b0074ab30a5fcdef89932522664ad485
ancestry_shared,reproduction_runs/journal_feedback_definition_additive_3f_mnist_15seed_20260731150354/results/config_20,47,dendritic_additive,3f,per_soma_shared,local,occupancy_quantile,0.9711999893188477,cffc06ccfbc1cecff138c31c0dcd1443dc1a476d26fae07b3c6bb8cc51a97451,260782979d1aa42ecd6d2fbebd59a7eee7ba7d94b1cdb655933d227c4d4a6bd7,aa09ac3c8501f7b3e8b60fe24bc8fbef3d58d098e0bc093afc36069c149f438e
ancestry_shared,reproduction_runs/journal_feedback_definition_additive_3f_mnist_15seed_20260731150354/results/config_21,48,dendritic_additive,3f,per_soma_shared,local,occupancy_quantile,0.9704999923706055,ba4227d0284d42ce3e7e8a2966237d040740f2f4a1ebe81e44e87f322b1fc1ee,38baf1e2727b71176c284748b993263c1db67e6254cb47a5803071b2cc6924f6,666be5c10e1e41c2f353867969448111765a9876022343ce6868bd6b79ca4b99
ancestry_shared,reproduction_runs/journal_feedback_definition_additive_3f_mnist_15seed_20260731150354/results/config_22,49,dendritic_additive,3f,per_soma_shared,local,occupancy_quantile,0.9726999998092651,b737d9b4131bf5a5ba1add6ae21114c0fb926c162c5a2a97f42e2487924aa153,fdc279dbb2841ba6418c666f7336e7a97343b72a448d85514507eef7cebd9c85,51c861f03333d344bfe5cc59924346c59495fe489a73b28082ec78e5a5712518
ancestry_shared,reproduction_runs/journal_feedback_definition_additive_3f_mnist_15seed_20260731150354/results/config_23,50,dendritic_additive,3f,per_soma_shared,local,occupancy_quantile,0.9711999893188477,67cc5a3c132ac50890fdf7ad0d1c549a6897abb582e52c67fa5537b44f63a223,f401fe0593920a917321cf6152b11861df6dce537f27155222f16949a5568a92,5b45aa5b36be2c1557ab4acf0571574bc28b4b579f76fdb501e854227578d45f
ancestry_shared,reproduction_runs/journal_feedback_definition_additive_3f_mnist_15seed_20260731150354/results/config_24,51,dendritic_additive,3f,per_soma_shared,local,occupancy_quantile,0.9704999923706055,9dc52c810e7842db898fc0894d34be478d07196bab6b50599bb02c1f15f1bc04,8b427ef4386835032fa0cc6b67c0bfc9f490f2c2af50f01e2ee89a26b55d87ce,fc0bd3e7f231aa8b02889f10fe4b167c75f6874f9046b6aba584cfc59ef9e501
ancestry_shared,reproduction_runs/journal_feedback_definition_additive_3f_mnist_15seed_20260731150354/results/config_25,52,dendritic_additive,3f,per_soma_shared,local,occupancy_quantile,0.9706999659538269,fcc633cef401e9d1ace0f14ed71d57a26c85a84e3ff2bf0b161d652a961bdae4,399611cfc2bfc82c0ad95bc74387ff6a0e6ebc2d38a9ba261f01b8b5aab89160,250195d0493991212e896d3cbabaddc51034cef9756387bd5867a9519efb0b42
